time spent so far, current solution cost, current qty moves
-2.93649e+09,764218,0
9e-06,764217,1
0.045424,764177,2
0.971049,764176,3
2.39873,764166,13
3.75828,764158,14
4.52074,764153,15
4.61489,764139,16
5.47998,764126,17
5.67497,764110,18
6.98329,764102,19
7.06921,764096,20
8.36921,764085,21
8.47151,764080,22
8.56807,764078,23
12.7787,764058,37
12.8874,764049,38
13.9901,764044,42
14.4532,764029,43
14.5298,764016,44
19.0333,764014,76
19.1944,764011,77
19.2204,764010,78
19.3692,763992,79
20.5045,763974,81
20.5586,763971,82
21.87,763958,83
23.5295,763953,88
24.9,763942,92
37.4411,763929,170
37.5947,763924,171
57.045,763921,282
57.1221,763911,283
57.2995,763901,284
57.32,763895,285
57.3778,763890,286
58.6813,763887,287
105.695,763887,1328
