time spent so far, current solution cost, current qty moves
-3.1331e+09,764031,0
8e-06,763989,1
0.030587,763970,2
0.157856,763958,3
1.3933,763944,4
1.54381,763934,5
1.68913,763927,6
1.85973,763924,7
2.2959,763910,8
4.09759,763900,10
4.45398,763899,12
4.7026,763896,13
4.8524,763872,14
23.5865,763869,116
25.9566,763864,133
25.999,763851,134
32.3805,763842,173
32.5566,763837,174
32.5923,763835,175
34.6672,763824,184
35.503,763823,185
35.5571,763822,186
35.6338,763808,191
38.3965,763800,201
38.4507,763799,202
49.4122,763795,262
54.1624,763788,274
54.3293,763786,275
54.4106,763767,278
54.6013,763766,279
63.6867,763756,317
124.344,763756,1384
