time spent so far, current solution cost, current qty moves
-2.86867e+09,764007,0
8e-06,763976,1
0.137084,763953,2
0.269399,763942,3
0.35011,763933,4
1.70368,763928,5
1.83834,763923,6
1.95288,763921,7
2.49069,763914,9
2.71925,763898,11
5.02414,763897,13
6.5,763892,15
6.61238,763886,16
15.6976,763882,96
15.7403,763874,97
15.8814,763870,98
16.01,763867,99
16.8667,763864,100
16.9502,763856,101
17.0711,763854,102
18.8817,763852,108
20.7028,763850,119
20.8543,763847,120
20.9494,763840,121
21.2278,763838,122
22.0537,763834,123
26.7677,763833,138
28.3076,763831,139
30.0925,763827,149
38.1609,763821,206
38.3261,763813,207
38.51,763805,208
38.6785,763799,209
38.7243,763786,210
42.5648,763776,232
43.9546,763774,233
56.1206,763759,325
56.2933,763737,326
56.3239,763726,327
60.1609,763724,339
64.6114,763721,355
64.6976,763715,356
80.422,763700,493
80.5114,763695,494
85.2501,763694,505
85.3884,763691,506
87.7013,763688,515
138.255,763688,1574
