time spent so far, current solution cost, current qty moves
-2.86989e+09,511271,0
7e-06,511224,1
0.038078,511203,2
0.052936,511202,3
0.138362,511194,6
0.492207,511185,7
0.770459,511176,8
0.823028,511172,9
0.863727,511134,10
1.44384,511112,12
1.58075,511084,13
2.15909,511071,19
2.18933,511069,20
2.57678,511051,21
2.59651,511030,22
2.83984,511025,23
2.88747,511000,24
3.98915,510990,41
4.30073,510989,42
4.31132,510985,43
5.21819,510968,48
5.95622,510967,56
6.0002,510954,57
6.27337,510936,58
6.29867,510931,59
10.417,510931,639
