time spent so far, current solution cost, current qty moves
-2.86942e+09,511655,0
6e-06,511610,1
0.044506,511583,2
0.061895,511558,3
0.074604,511542,4
0.088699,511530,5
0.141535,511518,6
0.598778,511516,13
0.943185,511514,14
1.32564,511501,19
1.4712,511500,20
4.083,511494,95
4.7585,511491,104
4.90527,511490,107
7.426,511480,150
7.68837,511458,151
7.71198,511443,152
7.75531,511436,153
7.79558,511435,154
8.73006,511425,168
12.8879,511424,303
12.9409,511414,304
15.0314,511409,359
25.1719,511409,1121
