time spent so far, current solution cost, current qty moves
-2.85252e+09,511627,0
7e-06,511595,1
0.010221,511571,2
0.072013,511557,3
0.089342,511529,4
0.237454,511505,5
0.570407,511498,6
1.02156,511480,8
1.05133,511461,9
1.39416,511449,10
1.43541,511447,11
1.56469,511402,14
1.61297,511400,15
1.67652,511388,16
2.53209,511387,29
2.84049,511383,30
2.87476,511381,31
3.10451,511375,38
3.1523,511373,39
3.97826,511370,52
4.02731,511369,53
4.08877,511364,54
4.41846,511335,62
4.70203,511319,63
4.76399,511315,64
5.29051,511314,73
5.35083,511305,74
5.37627,511304,75
5.39109,511303,76
5.41187,511291,77
5.43923,511288,78
13.2958,511266,287
13.353,511247,289
13.9195,511244,295
31.4214,511244,1279
