time spent so far, current solution cost, current qty moves
-2.95841e+09,511627,0
2e-06,511595,1
0.010678,511571,2
0.074158,511557,3
0.091659,511529,4
0.24304,511505,5
0.578562,511498,6
1.03868,511480,8
1.06833,511461,9
1.41012,511449,10
1.45205,511447,11
1.58132,511402,13
1.63219,511400,14
1.69566,511388,15
2.56077,511387,21
2.89108,511383,22
2.92846,511381,23
3.05293,511352,27
3.34091,511345,28
3.35222,511341,29
3.54084,511328,30
3.60408,511327,31
3.79099,511322,32
3.84019,511317,33
4.19386,511315,34
4.21658,511303,35
4.65017,511292,38
4.70911,511288,39
4.85685,511283,40
4.8851,511278,41
4.90577,511277,42
142.018,511270,1099
142.075,511255,1100
142.125,511242,1101
142.223,511232,1103
142.588,511230,1106
304.931,511230,2357
