time spent so far, current solution cost, current qty moves
-2.88736e+09,511570,0
2e-06,511551,1
0.059033,511530,2
0.227295,511490,5
0.240082,511488,6
0.48658,511474,7
0.540521,511464,8
0.560234,511459,9
0.569734,511457,10
4.08329,511456,27
4.50245,511451,28
4.60532,511443,29
4.67776,511417,31
5.37591,511413,34
5.42556,511393,35
5.49273,511388,36
5.50354,511376,37
6.25533,511341,40
10.4043,511339,66
10.4468,511338,67
10.5125,511334,68
10.8884,511315,69
11.24,511304,70
11.2827,511299,71
18.4704,511297,118
20.4282,511284,132
20.4511,511282,133
20.4662,511278,134
20.6244,511255,137
20.656,511252,138
30.547,511247,212
30.5948,511244,213
31.033,511229,214
31.3832,511212,215
31.4392,511202,216
31.4934,511191,217
96.3914,511187,685
96.7586,511186,689
96.8,511176,690
96.8224,511172,691
96.8772,511168,693
212.935,511167,1536
212.967,511165,1537
213.011,511159,1538
213.33,511153,1540
214.336,511152,1545
215.057,511150,1549
391.713,511150,2800
