time spent so far, current solution cost, current qty moves
-2.83868e+09,258230,0
1e-06,258200,1
0.009792,258196,2
0.05305,258176,3
0.061549,258175,4
0.099115,258155,6
0.206447,258137,10
0.213392,258136,11
1.44448,258131,84
1.50138,258120,89
1.93429,258110,114
1.94085,258100,115
1.98344,258085,116
2.03048,258084,119
2.06174,258082,120
2.10654,258077,122
2.10781,258071,123
2.11714,258057,124
3.66627,258054,213
5.52485,258042,327
9.03324,258018,554
9.04366,258012,555
11.3309,258010,713
11.9067,258008,756
11.9117,258005,757
11.9406,258001,758
13.8822,257996,889
13.8923,257993,890
17.8172,257990,1136
17.8199,257986,1137
27.098,257986,1763
