time spent so far, current solution cost, current qty moves
-3.22268e+09,511570,0
2e-06,511549,1
0.05358,511530,2
0.185713,511499,4
0.1998,511490,5
0.240258,511488,6
0.486611,511474,7
0.540978,511464,8
0.56071,511459,9
0.570265,511457,10
1.17692,511445,12
5.79674,511434,37
6.09355,511423,38
6.13419,511414,39
6.17327,511410,40
6.50715,511405,41
6.52994,511402,42
6.59622,511392,43
7.0362,511385,44
7.49073,511379,49
7.51845,511375,50
7.92956,511373,51
8.03729,511372,54
8.28415,511362,55
8.30113,511338,56
8.75541,511313,57
8.81724,511307,58
14.8498,511299,97
19.0519,511285,132
19.0751,511273,133
19.1286,511236,134
19.1701,511217,135
19.9666,511216,137
183.183,511216,1388
