time spent so far, current solution cost, current qty moves
-2.92326e+09,511619,0
2e-06,511609,1
0.064501,511605,2
0.091736,511601,3
0.142064,511576,4
0.154719,511565,5
0.57269,511557,6
0.613164,511510,7
1.50896,511505,11
1.99786,511495,15
2.01368,511477,16
2.17781,511466,18
3.31783,511464,27
3.34069,511463,28
3.38639,511456,30
22.0937,511452,164
22.1252,511450,165
22.3979,511436,166
22.4359,511423,167
22.4815,511417,169
22.8907,511415,170
23.298,511410,171
24.4222,511402,177
121.864,511396,915
121.921,511390,916
122.25,511379,917
122.286,511377,918
182.598,511363,1362
182.61,511360,1363
182.846,511359,1364
182.904,511329,1365
183.217,511306,1366
183.258,511299,1367
348.292,511299,2618
