time spent so far, current solution cost, current qty moves
-3.0802e+09,539156,0
2e-06,539124,1
0.383574,539076,3
0.433977,539036,4
0.478967,538992,5
12.2517,538970,94
12.2733,538924,95
17.8093,538832,132
18.3087,538798,133
18.3478,538755,134
19.2028,538685,140
19.2383,538682,141
19.6311,538667,142
21.7065,538645,154
32.7837,538643,228
32.9909,538504,232
36.0299,538457,251
36.0861,538427,252
62.6385,538358,450
62.6703,538310,451
62.9697,538252,452
63.0163,538233,453
63.0956,538109,454
63.1365,538100,455
63.3277,537924,456
243.718,537924,1707
