time spent so far, current solution cost, current qty moves
-3.04937e+09,763970,0
3e-06,763947,1
0.093807,763934,2
0.249679,763919,3
1.26172,763909,4
1.4569,763905,5
1.51757,763903,6
1.6924,763902,7
1.81177,763898,8
2.28436,763897,9
4.10778,763891,11
4.1792,763884,12
5.65127,763878,14
6.66952,763877,15
7.0858,763874,17
8.38646,763850,19
8.62007,763846,21
10.6027,763825,24
10.6394,763810,25
10.8013,763797,26
12.5539,763794,30
12.7125,763792,32
13.5629,763778,34
13.6098,763763,35
16.859,763755,41
17.0119,763752,42
17.2934,763751,43
52.4039,763744,110
400.414,763732,793
1026.91,763704,2042
1968.97,763704,3918
