time spent so far, current solution cost, current qty moves
-2.89747e+09,764045,0
2e-06,764020,1
0.186996,763998,2
0.350215,763971,3
0.507373,763969,4
1.8356,763960,5
1.98297,763959,6
3.27979,763951,7
3.42284,763932,8
3.51772,763930,9
4.75803,763916,10
4.85044,763910,11
5.95379,763909,12
6.09253,763886,13
7.30948,763881,14
7.89839,763869,15
7.94592,763860,16
9.22843,763840,17
9.29073,763839,19
203.653,763828,375
205.338,763825,376
206.855,763813,377
206.991,763812,378
211.357,763806,383
211.845,763770,384
212.025,763765,385
212.165,763751,386
212.388,763749,388
213.819,763748,391
219.579,763746,400
219.675,763745,401
221.071,763727,402
221.232,763717,403
222.569,763710,404
1215.15,763710,2280
