time spent so far, current solution cost, current qty moves
0,804612,0
16.8521,764320,220
62.4085,764317,221
62.5675,764309,223
62.715,764286,225
62.8569,764267,226
87.3216,764242,227
98.381,764239,228
98.5274,764215,229
261.617,764207,230
261.763,764199,231
376.098,764194,232
557.042,764172,233
557.185,764164,235
557.33,764159,236
609.47,764154,237
637.82,764143,238
637.997,764117,241
638.17,764092,244
683.849,764089,245
683.989,764073,246
684.157,764041,248
868.389,764034,249
1262.01,764034,249
