B1.1,23932,0.217143
B1.2,22119,0.215663
B1.3,23549,0.212327
B1.4,20747,0.193423
B1.5,24200,0.218955
B1.6,21014,0.240788
B1.7,22293,0.23777
B1.8,20340,0.227496
B1.9,25132,0.216967
B1.10,21864,0.21144
C1.1,17874,0.16108
C1.2,16249,0.128232
C1.3,17668,0.144461
C1.4,16836,0.148334
C1.5,17610,0.183972
C1.6,18358,0.162092
C1.7,17436,0.162443
C1.8,17925,0.162984
C1.9,17788,0.126402
C1.10,18242,0.151069
D1.1,14555,0.051318
D1.2,14723,0.067181
D1.3,14580,0.066928
D1.4,13260,0.052048
D1.5,12573,0.055047
D1.6,14179,0.067836
D1.7,14076,0.062426
D1.8,13846,0.064079
D1.9,14373,0.049169
D1.10,15091,0.064604
D2.1,18312,0.054271
D2.2,19439,0.050397
D2.3,19860,0.063726
D2.4,19041,0.06778
D2.5,19789,0.049218
D2.6,20224,0.071341
D2.7,19898,0.069928
D2.8,19852,0.047327
D2.9,18494,0.047332
D2.10,19141,0.077536
D3.1,24276,0.062987
D3.2,24424,0.063413
D3.3,24446,0.062141
D3.4,23157,0.061602
D3.5,23571,0.047177
D3.6,23511,0.076198
D3.7,23610,0.052173
D3.8,24226,0.055664
D3.9,24775,0.078392
D3.10,23144,0.071088
D4.1,27431,0.068926
D4.2,26850,0.055499
D4.3,27313,0.055568
D4.4,28419,0.06143
D4.5,26014,0.075713
D4.6,27446,0.054397
D4.7,25724,0.053489
D4.8,27700,0.063352
D4.9,26660,0.092129
D4.10,25261,0.070665
D5.1,30829,0.073853
D5.2,30428,0.06688
D5.3,30101,0.042391
D5.4,29879,0.060065
D5.5,30736,0.06158
D5.6,28497,0.069545
D5.7,30674,0.047541
D5.8,29708,0.05958
D5.9,30220,0.046906
D5.10,29233,0.06667
D6.1,32187,0.069306
D6.2,33757,0.052017
D6.3,32491,0.055329
D6.4,33761,0.037298
D6.5,32999,0.04299
D6.6,34066,0.060481
D6.7,32506,0.047155
D6.8,33481,0.051434
D6.9,33152,0.047525
D6.10,34466,0.033217
D7.1,34549,0.039534
D7.2,36147,0.046933
D7.3,35382,0.045984
D7.4,36580,0.046223
D7.5,33040,0.037997
D7.6,36834,0.057715
D7.7,35308,0.05991
D7.8,34193,0.054538
D7.9,35821,0.048535
D7.10,36000,0.048281
D8.1,36941,0.048148
D8.2,37050,0.039225
D8.3,38211,0.058203
D8.4,37453,0.081497
D8.5,38294,0.068976
D8.6,37606,0.081599
D8.7,37861,0.082665
D8.8,36208,0.060847
D8.9,39887,0.067615
D8.10,38472,0.050916
D9.1,40917,0.068867
D9.2,38258,0.068601
D9.3,39704,0.07138
D9.4,39939,0.044542
D9.5,39602,0.075662
D9.6,39457,0.073258
D9.7,38540,0.032345
D9.8,40725,0.038493
D9.9,40786,0.044699
D9.10,39310,0.046223
D10.1,40996,0.046541
D10.2,40995,0.066122
D10.3,37698,0.052577
D10.4,40783,0.051764
D10.5,40635,0.05593
D10.6,40908,0.049569
D10.7,41372,0.060361
D10.8,41595,0.072146
D10.9,43054,0.060859
D10.10,40809,0.057817
E1.1,15448,0.12512
E1.2,15178,0.129522
E1.3,15607,0.134909
E1.4,14328,0.145886
E1.5,14787,0.140167
E1.6,14426,0.164252
E1.7,14876,0.162214
E1.8,14342,0.108684
E1.9,14537,0.173981
E1.10,14973,0.192237
E2.1,21435,0.179611
E2.2,21314,0.126097
E2.3,21268,0.109418
E2.4,21851,0.121764
E2.5,21163,0.118238
E2.6,21761,0.127439
E2.7,20975,0.122652
E2.8,22046,0.095568
E2.9,21907,0.160095
E2.10,21667,0.142054
E3.1,25486,0.152904
E3.2,26529,0.167694
E3.3,25739,0.171762
E3.4,27047,0.158565
E3.5,27149,0.167178
E3.6,25673,0.185382
E3.7,26361,0.138462
E3.8,25994,0.134666
E3.9,25798,0.152481
E3.10,25659,0.157969
E4.1,30859,0.124604
E4.2,28047,0.122451
E4.3,28650,0.138563
E4.4,29939,0.115899
E4.5,30959,0.105249
E4.6,29941,0.123739
E4.7,30548,0.106669
E4.8,30218,0.098689
E4.9,30045,0.095884
E4.10,28910,0.092181
E5.1,32377,0.11713
E5.2,32894,0.118142
E5.3,34975,0.105729
E5.4,33748,0.239522
E5.5,35077,0.188261
E5.6,34832,0.150205
E5.7,32021,0.156909
E5.8,33419,0.152652
E5.9,35334,0.143309
E5.10,34446,0.166653
E6.1,36566,0.171778
E6.2,36441,0.17517
E6.3,36554,0.128149
E6.4,38833,0.162408
E6.5,35607,0.153725
E6.6,36404,0.140274
E6.7,38422,0.113372
E6.8,35770,0.131099
E6.9,36235,0.149367
E6.10,37936,0.130592
E7.1,39901,0.121041
E7.2,39737,0.137477
E7.3,38669,0.125266
E7.4,40317,0.134929
E7.5,41083,0.148559
E7.6,39703,0.160587
E7.7,38845,0.177595
E7.8,38636,0.150403
E7.9,39890,0.141756
E7.10,40870,0.138474
E8.1,42558,0.09504
E8.2,43396,0.159562
E8.3,41928,0.119232
E8.4,41863,0.095265
E8.5,42547,0.121817
E8.6,42057,0.117083
E8.7,43086,0.122367
E8.8,42568,0.128284
E8.9,44605,0.107183
E8.10,42107,0.108606
E9.1,45446,0.107269
E9.2,46376,0.120853
E9.3,44892,0.134897
E9.4,44477,0.128826
E9.5,45360,0.122835
E9.6,42443,0.104959
E9.7,45153,0.139064
E9.8,45684,0.120258
E9.9,45661,0.122351
E9.10,44162,0.116281
E10.1,47462,0.110485
E10.2,48817,0.124375
E10.3,45658,0.088648
E10.4,45852,0.125537
E10.5,47652,0.097519
E10.6,46474,0.132852
E10.7,46884,0.125146
E10.8,46678,0.106836
E10.9,47515,0.124269
E10.10,48146,0.111816
