time spent so far, current solution cost, current qty moves
2.5e-05,322525,1
0.546873,302205,2
0.98089,289748,3
1.67096,282066,4
2.11144,277153,5
2.5659,273521,6
2.92515,270798,7
3.4172,268617,8
3.48364,266825,9
3.59091,265469,10
3.94188,264428,11
4.20585,263566,12
4.85606,262802,13
5.01597,262197,14
5.29257,261698,15
5.87374,261222,16
5.97801,260809,17
6.44006,260460,18
6.81352,260165,19
7.32137,259902,20
7.71242,259647,21
7.73635,259438,22
8.0301,259287,23
8.13928,259149,24
8.43536,259023,25
8.65468,258925,26
9.10242,258827,27
9.18518,258746,28
9.26017,258675,29
9.33826,258614,30
9.95681,258559,31
10.4791,258529,32
10.8844,258500,33
11.3876,258475,34
11.6761,258461,35
11.7836,258435,36
11.8612,258411,37
11.9418,258376,38
12.7652,258374,40
12.7982,258363,41
12.9515,258356,42
13.0131,258348,43
13.4987,258319,44
13.5572,258264,45
13.778,258248,46
13.8477,258150,47
14.0424,258135,48
14.202,258131,50
14.5737,258130,51
14.9597,258128,52
15.5874,258113,55
15.6253,258111,56
21.776,258103,86
21.8226,258085,87
22.1255,258084,91
44.288,258081,199
52.18,258057,241
52.2153,258035,242
103.568,258035,493
