time spent so far, current solution cost, current qty moves
2.5e-05,325756,1
0.687959,302709,2
0.754826,290420,3
1.26836,282603,4
1.71577,277065,5
1.8891,273200,6
2.42881,270147,7
2.60746,267610,8
2.98271,265838,9
3.05069,264611,10
3.45592,263590,11
3.65526,262759,12
3.99949,262103,13
4.06223,261566,14
4.5706,261148,15
5.13112,260767,16
5.65693,260442,17
6.09117,260149,18
6.27561,259889,19
6.82589,259683,20
7.23228,259493,21
7.42902,259319,22
8.01186,259171,23
8.27274,259064,24
8.78052,258974,25
9.09399,258899,26
9.29761,258826,27
9.75526,258782,28
9.89633,258747,29
10.1995,258720,30
10.7907,258695,31
11.2041,258660,32
11.2531,258601,33
11.3196,258583,34
11.6163,258569,35
11.6654,258554,36
11.6924,258553,37
12.4566,258548,39
12.5672,258521,40
12.637,258500,41
12.6759,258485,42
12.7469,258458,43
12.8349,258435,44
13.1801,258418,45
13.2357,258415,46
13.5297,258397,47
13.6293,258384,48
13.7402,258338,49
14.0157,258317,51
14.2692,258315,52
14.3578,258313,53
14.6234,258290,54
14.7171,258278,55
14.8943,258240,56
14.9194,258238,57
15.3689,258206,59
15.4782,258191,60
15.8838,258180,61
16.074,258138,64
16.4179,258135,65
16.5192,258125,66
18.3693,258122,74
18.3919,258114,75
18.4835,258110,76
28.3981,258109,136
28.4604,258102,137
29.7886,258072,145
29.8214,258043,146
29.9216,258039,147
30.0052,258032,148
30.397,258030,149
33.3163,258023,168
33.3589,258006,169
51.1373,258002,273
68.0308,257991,388
68.0577,257990,389
76.2925,257987,450
76.4296,257985,451
116.097,257985,702
