ga250a-1,272332,1.07173
ga250a-2,267846,1.0979
ga250a-3,266973,1.11023
ga250a-4,274547,1.05357
ga250a-5,267437,1.059
ga250b-1,366576,2.34954
ga250b-2,331467,2.34361
ga250b-3,329957,2.30149
ga250b-4,329429,2.45495
ga250b-5,330742,2.45693
ga250c-1,377284,6.70181
ga250c-2,380470,6.33415
ga250c-3,379724,7.26982
ga250c-4,382849,6.87221
ga250c-5,380652,7.29357
ga500a-1,539490,5.4961
ga500a-2,542913,5.52142
ga500a-3,535394,5.04307
ga500a-4,532273,4.95274
ga500a-5,532632,5.06546
ga500b-1,617357,8.87039
ga500b-2,661029,8.42917
ga500b-3,664414,8.25862
ga500b-4,667955,8.19444
ga500b-5,662040,8.69654
ga500c-1,754672,21.4612
ga500c-2,762568,20.4197
ga500c-3,745722,19.8263
ga500c-4,752945,21.2697
ga500c-5,748663,21.834
ga750a-1,797523,12.2605
ga750a-2,797995,12.413
ga750a-3,797076,11.8908
ga750a-4,809037,10.8466
ga750a-5,812563,11.1571
ga750b-1,1.00048e+06,14.9725
ga750b-2,932730,14.6029
ga750b-3,998665,14.7747
ga750b-4,991474,15.6915
ga750b-5,993197,16.1144
ga750c-1,1.13768e+06,42.6361
ga750c-2,1.13031e+06,41.1108
ga750c-3,1.12905e+06,41.3616
ga750c-4,1.1249e+06,39.7538
ga750c-5,1.14145e+06,39.353
gs250a-1,267399,1.19698
gs250a-2,272011,1.03584
gs250a-3,266432,1.07765
gs250a-4,273990,1.19569
gs250a-5,269203,1.19778
gs250b-1,329161,2.45602
gs250b-2,331608,2.15566
gs250b-3,335724,2.10237
gs250b-4,335474,2.43782
gs250b-5,371466,2.65542
gs250c-1,374156,7.72279
gs250c-2,380805,6.95838
gs250c-3,381192,6.82286
gs250c-4,381027,7.28219
gs250c-5,384306,7.55608
gs500a-1,543871,5.29609
gs500a-2,532087,5.42737
gs500a-3,535234,5.32534
gs500a-4,538375,5.42032
gs500a-5,540691,5.41855
gs500b-1,659105,8.32911
gs500b-2,744914,8.40518
gs500b-3,665410,8.01104
gs500b-4,666693,7.89752
gs500b-5,666414,8.05711
gs500c-1,756592,21.6655
gs500c-2,754625,21.0526
gs500c-3,755984,21.6642
gs500c-4,769332,22.1759
gs500c-5,750521,21.0799
gs750a-1,794239,11.6851
gs750a-2,794815,11.7214
gs750a-3,804612,12.1683
gs750a-4,808411,12.2737
gs750a-5,796220,11.3169
gs750b-1,941059,14.9668
gs750b-2,1.00058e+06,14.5589
gs750b-3,996488,16.5775
gs750b-4,1.00307e+06,16.3995
gs750b-5,987795,15.9264
gs750c-1,1.13983e+06,39.5978
gs750c-2,1.12935e+06,40.5675
gs750c-3,1.12876e+06,41.5881
gs750c-4,1.1304e+06,41.8505
gs750c-5,1.11888e+06,41.6123
