time spent so far, current solution cost, current qty moves
-3.08861e+09,511522,0
1.6e-05,511489,1
0.042659,511474,2
0.070788,511467,3
0.086758,511464,4
0.144224,511457,6
0.47212,511446,7
0.510971,511431,8
0.948487,511421,9
1.15645,511399,12
2.83002,511395,30
59.4623,511393,450
59.4763,511379,451
60.1537,511377,457
60.605,511370,458
99.044,511369,754
99.436,511360,757
99.4479,511353,758
99.4725,511343,759
99.5499,511342,760
208.384,511330,1548
301.134,511329,2223
319.808,511319,2350
319.838,511315,2351
319.883,511307,2352
496.963,511307,3603
