time spent so far, current solution cost, current qty moves
-2.9831e+09,763970,0
3e-06,763947,1
0.091789,763934,2
0.249708,763919,3
1.26066,763909,4
1.45626,763905,5
1.51795,763903,6
1.70559,763902,7
1.82719,763898,8
2.30527,763897,9
4.1217,763891,11
4.19174,763884,12
5.66394,763878,14
6.68551,763877,15
7.10966,763874,17
8.42785,763850,19
8.65761,763846,21
10.6217,763825,24
10.6585,763810,25
10.822,763797,26
12.5831,763794,30
12.741,763792,32
13.5891,763778,34
13.6351,763763,35
964.037,763763,1911
