time spent so far, current solution cost, current qty moves
-2.83406e+09,511485,0
2e-06,511459,1
0.045645,511443,2
0.097718,511433,3
0.190254,511424,4
0.220199,511417,5
31.7699,511408,219
31.844,511407,220
31.8795,511401,221
32.1906,511363,223
32.5635,511360,227
32.6232,511356,228
57.6088,511350,408
57.6638,511310,409
57.7027,511295,410
70.3172,511286,501
70.3534,511268,502
70.5955,511265,503
71.3356,511258,506
118.631,511254,837
118.681,511241,838
185.092,511240,1310
185.118,511224,1311
185.235,511214,1312
365.41,511214,2563
