time spent so far, current solution cost, current qty moves
-2.89317e+09,511271,0
1e-06,511224,1
0.034026,511203,2
0.046443,511202,3
0.1228,511194,5
0.435175,511185,6
0.681943,511176,7
0.729063,511172,8
0.766488,511134,9
1.2801,511112,11
1.40685,511084,12
1.92348,511071,16
1.95028,511069,17
2.28519,511051,18
2.30318,511030,19
2.52313,511025,20
2.56517,511000,21
3.86265,510993,29
4.16678,510990,30
4.2182,510989,31
4.22747,510985,32
5.0937,510968,34
5.53078,510955,38
5.55408,510945,39
5.89709,510936,40
6.35929,510931,41
41.6086,510930,301
41.652,510913,302
41.7601,510909,303
42.1407,510891,304
42.1927,510884,305
42.2356,510883,306
190.085,510869,1434
190.097,510855,1435
355.3,510855,2686
