time spent so far, current solution cost, current qty moves
-2.88704e+09,764218,0
4e-06,764217,1
0.047249,764187,2
1.50043,764186,3
3.81105,764178,8
4.08371,764166,10
5.46777,764162,11
5.59554,764154,12
6.37457,764149,13
6.46867,764143,14
9.10062,764131,17
11.1583,764127,21
11.9879,764089,22
12.0428,764080,23
22.3103,764077,38
22.4648,764058,39
23.52,764052,40
30.5242,764042,53
30.7137,764038,54
32.0448,764010,55
32.1457,764005,56
32.9245,763937,57
320.827,763935,601
320.992,763912,602
322.33,763907,603
356.371,763895,657
356.52,763893,658
356.671,763877,659
356.777,763876,660
356.878,763872,661
358.217,763866,662
359.794,763855,665
362.888,763852,670
364.282,763848,671
365.648,763845,672
1367.4,763845,2548
