time spent so far, current solution cost, current qty moves
-2.95322e+09,763898,0
2e-06,763865,1
0.182279,763847,2
0.351452,763835,3
0.48051,763834,4
0.961079,763804,5
1.01397,763803,6
2.61951,763787,7
2.73198,763785,8
2.82599,763773,9
3.4796,763769,10
3.55062,763755,11
3.58373,763751,12
10.4938,763739,21
10.6491,763728,22
10.8141,763720,23
11.9443,763714,24
12.0826,763708,25
875.841,763705,1729
875.928,763704,1730
877.187,763699,1731
878.269,763690,1732
878.341,763676,1733
879.181,763667,1735
983.919,763662,1928
984.677,763656,1929
984.852,763638,1930
984.98,763622,1931
1930.84,763622,3807
