time spent so far, current solution cost, current qty moves
-3.00205e+09,511627,0
2e-06,511603,1
0.063829,511592,2
0.369992,511589,3
0.441697,511567,4
0.706331,511560,5
0.73944,511546,6
0.758946,511529,7
1.10406,511521,8
1.15529,511506,9
1.29374,511492,10
1.32436,511473,11
1.35309,511470,12
1.36426,511458,13
1.51392,511443,14
1.55324,511415,15
1.56343,511413,16
1.98378,511399,18
2.04785,511374,19
2.39472,511372,21
2.44583,511317,22
3.63875,511293,27
3.76921,511286,30
4.1226,511247,31
72.9049,511243,566
73.3972,511237,572
73.6657,511218,573
74.0861,511216,575
74.1342,511200,576
74.7723,511186,579
234.019,511186,1830
