time spent so far, current solution cost, current qty moves
0,769248,0
78.4844,764711,123
78.6208,764702,124
93.273,764693,125
93.4281,764692,126
93.5751,764689,127
136.873,764688,128
137.046,764624,131
137.192,764613,133
137.343,764597,135
137.491,764573,137
140.299,764570,138
140.464,764554,140
155.242,764553,141
155.397,764486,143
155.535,764469,144
155.691,764457,146
155.848,764449,147
155.995,764447,148
469.152,764443,149
553.968,764436,150
657.51,764431,151
780.153,764423,152
903.685,764422,153
903.685,764422,153
