time spent so far, current solution cost, current qty moves
0,769262,0
9.47303,764193,112
10.139,764107,122
28.7192,764057,123
28.8638,764044,124
77.8703,764041,125
78.0321,764008,127
78.1972,763997,130
120.585,763996,131
120.808,763962,137
120.961,763940,139
220.65,763935,140
220.813,763921,143
323.919,763914,144
324.067,763913,145
324.21,763898,146
324.362,763897,147
338.407,763879,148
414.358,763872,149
414.504,763849,150
414.641,763842,151
526.551,763817,152
635.604,763815,153
635.748,763814,154
716.286,763812,155
716.455,763777,158
800.612,763775,159
800.786,763752,162
908.426,763750,163
908.426,763750,163
