time spent so far, current solution cost, current qty moves
-2.84628e+09,763898,0
4.8e-05,763865,1
1.27716,763832,2
1.62482,763817,3
2.78564,763805,4
3.65542,763804,5
14.5269,763788,6
15.2948,763772,7
20.8033,763737,8
21.3404,763735,9
21.9996,763723,10
26.4136,763709,11
26.6591,763705,12
33.4337,763701,13
138.258,763691,40
138.71,763666,41
139.608,763653,42
146.788,763600,43
146.946,763590,44
150.093,763587,45
154.417,763571,46
155.144,763563,47
156.374,763553,48
177.479,763540,51
178.7,763528,52
6520.16,763528,1928
