time spent so far, current solution cost, current qty moves
-2.78157e+09,511619,0
2.6e-05,511576,1
0.102957,511551,2
0.196291,511541,3
0.669497,511522,4
1.26998,511518,5
4.07955,511513,8
5.48732,511511,9
6.04765,511507,11
6.4508,511499,12
6.58789,511496,13
9.73828,511488,14
10.0522,511485,15
62.7286,511480,74
63.0118,511471,75
63.4558,511465,76
68.3507,511461,80
68.7818,511456,81
71.0429,511452,82
73.0161,511446,85
73.7728,511442,86
74.7879,511439,87
74.9696,511437,88
78.4275,511432,92
80.6814,511427,93
163.457,511418,169
163.989,511410,170
164.113,511403,171
164.276,511378,172
165.739,511377,173
167.878,511373,174
168.19,511342,175
807.117,511336,767
809.401,511331,769
876.712,511325,827
877.146,511322,828
878.606,511320,829
1008,511319,941
1019.5,511317,953
1020.41,511309,955
2274.53,511304,2087
2275,511301,2088
2275.34,511295,2089
2282.5,511290,2093
2742.64,511283,2532
2924.19,511275,2695
3581.65,511271,3354
3758.28,511266,3526
5088.46,511266,4777
