time spent so far, current solution cost, current qty moves
-2.77088e+09,511271,0
2.7e-05,511224,1
0.270834,511203,2
0.374956,511202,3
0.998845,511194,5
3.41119,511185,6
5.37954,511176,7
5.75286,511172,8
6.05601,511134,9
9.91655,511112,11
10.9118,511084,12
14.9745,511071,16
15.1923,511069,17
17.7593,511051,18
17.9058,511030,19
19.6569,511025,20
19.9992,511000,21
27.6139,510990,28
29.8,510989,29
29.8701,510985,30
35.8933,510968,32
39.0993,510955,36
39.2807,510945,37
41.7294,510936,38
44.9357,510931,39
385.079,510925,363
386.608,510914,364
386.727,510895,365
389.194,510890,366
389.408,510889,367
390.211,510857,368
390.753,510831,370
391.166,510827,371
391.734,510826,372
1673.26,510826,1623
