time spent so far, current solution cost, current qty moves
-2.9626e+09,763970,0
3.3e-05,763947,1
0.653114,763934,2
1.74813,763919,3
8.37543,763909,4
9.8004,763905,5
10.2539,763903,6
11.4907,763902,7
12.3187,763898,8
15.7784,763897,9
28.2936,763891,11
28.8057,763884,12
38.7914,763878,14
45.4978,763877,15
48.5815,763874,17
57.4406,763850,19
59.1119,763846,21
72.7466,763825,24
73.0244,763810,25
74.1812,763797,26
85.9936,763794,30
87.1271,763792,32
93.0352,763778,34
93.3608,763763,35
115.334,763755,41
116.404,763752,42
118.563,763751,43
356.971,763744,110
2719.37,763732,793
6992.18,763704,2042
13410.5,763704,3918
