time spent so far, current solution cost, current qty moves
-2.87189e+09,797900,0
5.9e-05,797798,1
3.38112,797758,3
4.61914,797696,4
11.2798,797652,5
12.2431,797633,6
12.7207,797577,7
14.3241,797553,9
15.2792,797433,10
16.0139,797339,11
31.0532,797294,14
31.6223,797237,15
48.5425,797204,17
49.4513,797178,18
50.089,797164,19
7363.76,797164,1895
