time spent so far, current solution cost, current qty moves
-2.83387e+09,764017,0
3.4e-05,763978,1
0.85454,763945,2
2.03368,763929,3
3.24295,763921,4
3.49759,763918,5
33.837,763916,11
60.4217,763908,22
62.4103,763899,23
352.529,763897,106
386.384,763895,113
387.697,763892,114
388.382,763891,115
397.55,763881,118
407.814,763861,119
408.882,763841,121
457.97,763840,131
469.073,763833,132
470.322,763827,133
471.137,763820,134
472.314,763815,135
479.686,763810,136
480.545,763807,137
482.688,763793,139
5266.35,763791,1505
5266.87,763774,1506
12042.7,763774,3382
