time spent so far, current solution cost, current qty moves
-2.80069e+09,511627,0
2.4e-05,511595,1
0.081052,511571,2
0.586086,511557,3
0.751305,511529,4
1.96428,511505,5
4.53338,511498,6
8.01621,511480,8
8.25793,511461,9
10.8951,511449,10
11.2335,511447,11
12.256,511402,13
12.6398,511400,14
13.1441,511388,15
19.8437,511387,21
22.2788,511383,22
22.5616,511381,23
23.5564,511352,27
25.9112,511345,28
26.0104,511341,29
27.5721,511328,30
28.0746,511327,31
29.6517,511322,32
30.0573,511317,33
32.8209,511315,34
32.9939,511303,35
36.3315,511292,38
36.8183,511288,39
37.9816,511283,40
38.209,511278,41
38.3689,511277,42
1095.15,511270,1099
1095.61,511255,1100
1096.01,511242,1101
1096.79,511232,1103
1099.63,511230,1106
2355.54,511230,2357
