OPT or BUB,,,Tabu Search,,,,,Late Acceptance,,,,
Input file name,Solution cost,,Instance name,Cost,%,Time TS_G_N1_ST (+ segs G),,Instance name,Cost,%,Time TS_G_N1_ST (+ segs G),
,257953,,ga250a-3__a1-2.5_l-0.01-0.08,257966,0.01%,123.61,,,,,,
,257953,,ga250a-3__a1-1_l-0.01-0.08,257966,0.01%,74.41,,,,,,
,257953,,ga250a-3__a1-0.5_l-0.01-0.08,258078,0.05%,28.32,,,,,,
,257953,,ga250a-3__a1-0.1_l-0.01-0.08,258136,0.07%,4.77,,,,,,
,,,,,,,,,,,,
ga250a-4 *OPT,257987,,ga250a-4__a1-2.5_l-0.01-0.05,257987,0.00%,105.66,,ga250a-4__bf-0_a1-2.5_idle-0.02_lh-1,258108,0.05%,1.02,
,257987,,ga250a-4__a1-1_l-0.01-0.05,257987,0.00%,45.51,,ga250a-4__bf-0_a1-2.5_idle-0.02_lh-10,258117,0.05%,2.09,
,257987,,ga250a-4__a1-0.5_l-0.01-0.05,257987,0.00%,23.83,,ga250a-4__bf-0_a1-2.5_idle-0.02_lh-50,258090,0.04%,3.91,
,257987,,ga250a-4__a1-0.1_l-0.01-0.05,257987,0.00%,7.85,,ga250a-4__bf-0_a1-2.5_idle-0.02_lh-250,258074,0.03%,13.13,
,257987,,ga250a-4__a1-2.5_l-0.04-0.08,257987,0.00%,100.76,,ga250a-4__bf-0_a1-2.5_idle-0.02_lh-1000,258123,0.05%,4.14,
,257987,,ga250a-4__a1-1_l-0.04-0.08,257987,0.00%,40.97,,ga250a-4__bf-0_a1-2.5_idle-0.02_lh-10000,258123,0.05%,3.92,
,257987,,ga250a-4__a1-0.5_l-0.04-0.08,257987,0.00%,21.71,,,,,,
,257987,,ga250a-4__a1-0.1_l-0.04-0.08,257987,0.00%,7.06,,ga250a-4__bf-1_a1-2.5_idle-0.02_lh-1,258108,0.05%,1.05,
,257987,,ga250a-4__a1-2.5_l-0.1-0.2,257987,0.00%,92.21,,ga250a-4__bf-1_a1-2.5_idle-0.02_lh-10,258108,0.05%,2.80,
,257987,,ga250a-4__a1-1_l-0.1-0.2,257987,0.00%,38.68,,,,,,
,257987,,ga250a-4__a1-0.5_l-0.1-0.2,257987,0.00%,20.92,,,,,,
,257987,,ga250a-4__a1-0.1_l-0.1-0.2,257987,0.00%,7.53,,,,,,
,257987,,ga250a-4__a1-2.5_l-0.01-0.08,257987,0.00%,94.23,,,,,,
,257987,,ga250a-4__a1-1_l-0.01-0.08,257987,0.00%,38.19,,,,,,
,257987,,ga250a-4__a1-0.5_l-0.01-0.08,257987,0.00%,22.08,,,,,,
,257987,,ga250a-4__a1-0.1_l-0.01-0.08,257987,0.00%,6.30,,,,,,
,,,,,,,,,,,,
