OPT or BUB,,,Tabu Search,,,,,Late Acceptance,,,,
Input file name,Solution cost,,Instance name,Cost,%,Time TS_G_N1_ST (+ segs G),,Instance name,Cost,%,Time TS_G_N1_ST (+ segs G),
,537482,,,,-100.00%,,,ga500b-5__bf-0_a1-2.5_idle-0.02_lh-1000,537971,0.09%,15.94,
,537482,,,,-100.00%,,,ga500b-5__bf-0_a1-2.5_idle-0.02_lh-10000,537971,0.09%,30.84,
,537482,,,,-100.00%,,,,,,,
,537482,,,,-100.00%,,,ga500b-5__bf-1_a1-2.5_idle-0.02_lh-1,538036,0.10%,0.75,
,537482,,,,-100.00%,,,ga500b-5__bf-1_a1-2.5_idle-0.02_lh-10,538036,0.10%,2.56,
,537482,,,,-100.00%,,,,,,,
,537482,,,,-100.00%,,,,,,,
,537482,,,,-100.00%,,,,,,,
,537482,,,,-100.00%,,,,,,,
,537482,,,,-100.00%,,,,,,,
,537482,,,,-100.00%,,,,,,,
,,,,,,,,,,,,
avg,537847.6,,,,-100.00%,,,,538361.828571429,0.10%,12.09,
