,,,Input file name TS,Solution cost,Time spent,,Input file name LA,Solution cost,Time spent,,
,,,ga500c-5__bf-1_a1-2.5_l-0.04-0.08,621447,218.49,,ga500c-5__bf-1_a1-2.5_idle-0.02_lh-10,622365,0.00,,
,,,ga500c-5__bf-1_a1-2.5_l-0.01-0.08,621447,224.06,,,,,,
,,,,,,,,,,,
,,,ga750a-1__bf-0_a1-2.5_l-0.01-0.05,763532,1008.79,,ga750a-1__bf-0_a1-2.5_idle-0.02_lh-0.05,763807,8.09,,
,,,ga750a-1__bf-0_a1-2.5_l-0.04-0.08,763622,1930.84,,ga750a-1__bf-0_a1-2.5_idle-0.02_lh-0.1,763682,17.28,,
,,,ga750a-1__bf-0_a1-2.5_l-0.01-0.08,763587,1756.52,,ga750a-1__bf-0_a1-2.5_idle-0.02_lh-0.5,763620,99.23,,
,,,ga750a-1__bf-1_a1-2.5_l-0.01-0.05,763532,1190.69,,ga750a-1__bf-0_a1-2.5_idle-0.02_lh-1,763665,130.34,,
,,,ga750a-1__bf-1_a1-2.5_l-0.04-0.08,763528,966.06,,ga750a-1__bf-1_a1-2.5_idle-0.02_lh-10,763701,11.89,,
,,,ga750a-1__bf-1_a1-2.5_l-0.01-0.08,763638,1179.32,,,,,,
,,,,,,,,,,,
,,,ga750a-2__bf-0_a1-2.5_l-0.01-0.05,763647,2043.24,,ga750a-2__bf-0_a1-2.5_idle-0.02_lh-0.05,763901,17.67,,
,,,ga750a-2__bf-0_a1-2.5_l-0.04-0.08,763783,1541.10,,ga750a-2__bf-0_a1-2.5_idle-0.02_lh-0.1,763835,29.21,,
,,,ga750a-2__bf-0_a1-2.5_l-0.01-0.08,763710,1215.15,,ga750a-2__bf-0_a1-2.5_idle-0.02_lh-0.5,763824,115.36,,
,,,ga750a-2__bf-1_a1-2.5_l-0.01-0.05,763659,1270.39,,ga750a-2__bf-0_a1-2.5_idle-0.02_lh-1,763957,46.46,,
,,,ga750a-2__bf-1_a1-2.5_l-0.04-0.08,763748,1142.51,,ga750a-2__bf-1_a1-2.5_idle-0.02_lh-10,763812,12.40,,
,,,ga750a-2__bf-1_a1-2.5_l-0.01-0.08,763666,1828.52,,,,,,
,,,,,,,,,,,
,,,ga750a-3__bf-0_a1-2.5_l-0.01-0.05,763727,1005.26,,ga750a-3__bf-0_a1-2.5_idle-0.02_lh-0.05,763871,7.64,,
,,,ga750a-3__bf-0_a1-2.5_l-0.04-0.08,763783,964.58,,ga750a-3__bf-0_a1-2.5_idle-0.02_lh-0.1,763903,5.94,,
,,,ga750a-3__bf-0_a1-2.5_l-0.01-0.08,763783,959.90,,ga750a-3__bf-0_a1-2.5_idle-0.02_lh-0.5,763800,62.13,,
,,,ga750a-3__bf-1_a1-2.5_l-0.01-0.05,763704,1968.97,,ga750a-3__bf-0_a1-2.5_idle-0.02_lh-1,763876,36.69,,
,,,ga750a-3__bf-1_a1-2.5_l-0.04-0.08,763763,964.04,,ga750a-3__bf-1_a1-2.5_idle-0.02_lh-10,763897,9.66,,
,,,ga750a-3__bf-1_a1-2.5_l-0.01-0.08,763763,992.13,,,,,,
,,,,,,,,,,,
,,,ga750a-4__bf-0_a1-2.5_l-0.01-0.05,763977,1049.08,,ga750a-4__bf-0_a1-2.5_idle-0.02_lh-0.05,763988,12.91,,
,,,ga750a-4__bf-0_a1-2.5_l-0.04-0.08,763977,984.63,,ga750a-4__bf-0_a1-2.5_idle-0.02_lh-0.1,763990,15.59,,
,,,ga750a-4__bf-0_a1-2.5_l-0.01-0.08,763977,972.92,,ga750a-4__bf-0_a1-2.5_idle-0.02_lh-0.5,764050,23.53,,
,,,ga750a-4__bf-1_a1-2.5_l-0.01-0.05,763968,951.01,,ga750a-4__bf-0_a1-2.5_idle-0.02_lh-1,764087,17.26,,
,,,ga750a-4__bf-1_a1-2.5_l-0.04-0.08,763968,973.74,,ga750a-4__bf-1_a1-2.5_idle-0.02_lh-10,763968,5.50,,
,,,ga750a-4__bf-1_a1-2.5_l-0.01-0.08,763968,988.31,,,,,,
,,,,,,,,,,,
,,,ga750a-5__bf-0_a1-2.5_l-0.01-0.05,763845,1367.40,,ga750a-5__bf-0_a1-2.5_idle-0.02_lh-0.05,764186,3.11,,
,,,ga750a-5__bf-0_a1-2.5_l-0.04-0.08,763949,1054.82,,ga750a-5__bf-0_a1-2.5_idle-0.02_lh-0.1,764186,3.10,,
,,,ga750a-5__bf-0_a1-2.5_l-0.01-0.08,763851,1808.24,,ga750a-5__bf-0_a1-2.5_idle-0.02_lh-0.5,764148,23.69,,
,,,ga750a-5__bf-1_a1-2.5_l-0.01-0.05,763898,1094.92,,ga750a-5__bf-0_a1-2.5_idle-0.02_lh-1,764082,78.97,,
,,,ga750a-5__bf-1_a1-2.5_l-0.04-0.08,763942,1170.84,,ga750a-5__bf-1_a1-2.5_idle-0.02_lh-10,764176,3.57,,
,,,ga750a-5__bf-1_a1-2.5_l-0.01-0.08,763950,1567.82,,,,,,
,,,,,,,,,,,
,,,ga750b-1__bf-0_a1-2.5_l-0.01-0.05,796518,1067.17,,ga750b-1__bf-0_a1-2.5_idle-0.02_lh-0.05,797200,0.00,,
,,,ga750b-1__bf-0_a1-2.5_l-0.04-0.08,797009,959.89,,ga750b-1__bf-0_a1-2.5_idle-0.02_lh-0.1,797200,0.00,,
,,,ga750b-1__bf-0_a1-2.5_l-0.01-0.08,796626,1533.63,,ga750b-1__bf-0_a1-2.5_idle-0.02_lh-0.5,797200,0.00,,
,,,ga750b-1__bf-1_a1-2.5_l-0.01-0.05,796560,969.15,,ga750b-1__bf-0_a1-2.5_idle-0.02_lh-1,797200,0.00,,
,,,ga750b-1__bf-1_a1-2.5_l-0.04-0.08,797138,1161.73,,ga750b-1__bf-1_a1-2.5_idle-0.02_lh-10,797200,0.00,,
,,,ga750b-1__bf-1_a1-2.5_l-0.01-0.08,796518,1382.55,,,,,,
,,,,,,,,,,,
,,,ga750b-2__bf-0_a1-2.5_l-0.01-0.05,796192,1813.64,,ga750b-2__bf-0_a1-2.5_idle-0.02_lh-0.05,796403,3.91,,
,,,ga750b-2__bf-0_a1-2.5_l-0.04-0.08,796403,1127.86,,ga750b-2__bf-0_a1-2.5_idle-0.02_lh-0.1,796403,5.38,,
,,,ga750b-2__bf-0_a1-2.5_l-0.01-0.08,796403,1147.98,,ga750b-2__bf-0_a1-2.5_idle-0.02_lh-0.5,796417,9.71,,
,,,ga750b-2__bf-1_a1-2.5_l-0.01-0.05,796052,1181.82,,ga750b-2__bf-0_a1-2.5_idle-0.02_lh-1,796417,8.81,,
,,,ga750b-2__bf-1_a1-2.5_l-0.04-0.08,796362,1127.58,,ga750b-2__bf-1_a1-2.5_idle-0.02_lh-10,796362,5.99,,
,,,ga750b-2__bf-1_a1-2.5_l-0.01-0.08,796362,1089.87,,,,,,
,,,,,,,,,,,
,,,ga750b-3__bf-0_a1-2.5_l-0.01-0.05,796421,1021.53,,ga750b-3__bf-0_a1-2.5_idle-0.02_lh-0.05,796656,8.98,,
,,,ga750b-3__bf-0_a1-2.5_l-0.04-0.08,796421,1036.39,,ga750b-3__bf-0_a1-2.5_idle-0.02_lh-0.1,796656,8.95,,
,,,ga750b-3__bf-0_a1-2.5_l-0.01-0.08,796421,1158.47,,ga750b-3__bf-0_a1-2.5_idle-0.02_lh-0.5,796852,12.37,,
,,,ga750b-3__bf-1_a1-2.5_l-0.01-0.05,796260,1681.06,,ga750b-3__bf-0_a1-2.5_idle-0.02_lh-1,796967,15.87,,
,,,ga750b-3__bf-1_a1-2.5_l-0.04-0.08,796793,994.55,,ga750b-3__bf-1_a1-2.5_idle-0.02_lh-10,796444,17.71,,
,,,ga750b-3__bf-1_a1-2.5_l-0.01-0.08,796485,1741.64,,,,,,
,,,,,,,,,,,
,,,ga750b-4__bf-0_a1-2.5_l-0.01-0.05,797017,1176.34,,ga750b-4__bf-0_a1-2.5_idle-0.02_lh-0.05,797798,0.15,,
,,,ga750b-4__bf-0_a1-2.5_l-0.04-0.08,797596,1063.51,,ga750b-4__bf-0_a1-2.5_idle-0.02_lh-0.1,797798,0.15,,
,,,ga750b-4__bf-0_a1-2.5_l-0.01-0.08,797596,1314.68,,ga750b-4__bf-0_a1-2.5_idle-0.02_lh-0.5,797466,14.33,,
,,,ga750b-4__bf-1_a1-2.5_l-0.01-0.05,797104,1066.68,,ga750b-4__bf-0_a1-2.5_idle-0.02_lh-1,797157,41.31,,
,,,ga750b-4__bf-1_a1-2.5_l-0.04-0.08,797164,1053.17,,ga750b-4__bf-1_a1-2.5_idle-0.02_lh-10,797045,13.12,,
,,,ga750b-4__bf-1_a1-2.5_l-0.01-0.08,797164,1062.43,,,,,,
,,,,,,,,,,,
,,,ga750b-5__bf-0_a1-2.5_l-0.01-0.05,796537,1118.46,,ga750b-5__bf-0_a1-2.5_idle-0.02_lh-0.05,796537,0.16,,
,,,ga750b-5__bf-0_a1-2.5_l-0.04-0.08,796537,1087.64,,ga750b-5__bf-0_a1-2.5_idle-0.02_lh-0.1,796537,0.16,,
,,,ga750b-5__bf-0_a1-2.5_l-0.01-0.08,796537,1100.39,,ga750b-5__bf-0_a1-2.5_idle-0.02_lh-0.5,796537,2.07,,
,,,ga750b-5__bf-1_a1-2.5_l-0.01-0.05,796404,1389.10,,ga750b-5__bf-0_a1-2.5_idle-0.02_lh-1,796537,2.09,,
,,,ga750b-5__bf-1_a1-2.5_l-0.04-0.08,796537,1044.47,,ga750b-5__bf-1_a1-2.5_idle-0.02_lh-10,796537,1.31,,
,,,ga750b-5__bf-1_a1-2.5_l-0.01-0.08,796537,1058.57,,,,,,
,,,,,,,,,,,
,,,ga750c-1__bf-0_a1-2.5_l-0.01-0.05,902639,1185.28,,ga750c-1__bf-0_a1-2.5_idle-0.02_lh-0.05,904117,0.22,,
,,,ga750c-1__bf-0_a1-2.5_l-0.04-0.08,902639,935.00,,ga750c-1__bf-0_a1-2.5_idle-0.02_lh-0.1,904117,0.22,,
,,,ga750c-1__bf-0_a1-2.5_l-0.01-0.08,902639,978.12,,ga750c-1__bf-0_a1-2.5_idle-0.02_lh-0.5,904117,0.22,,
,,,ga750c-1__bf-1_a1-2.5_l-0.01-0.05,902771,1036.72,,ga750c-1__bf-0_a1-2.5_idle-0.02_lh-1,904117,0.22,,
,,,ga750c-1__bf-1_a1-2.5_l-0.04-0.08,902832,919.83,,ga750c-1__bf-1_a1-2.5_idle-0.02_lh-10,902832,2.72,,
,,,ga750c-1__bf-1_a1-2.5_l-0.01-0.08,902832,985.82,,,,,,
,,,,,,,,,,,
,,,ga750c-2__bf-0_a1-2.5_l-0.01-0.05,900602,1551.86,,ga750c-2__bf-0_a1-2.5_idle-0.02_lh-0.05,900602,0.00,,
,,,ga750c-2__bf-0_a1-2.5_l-0.04-0.08,900602,1178.93,,ga750c-2__bf-0_a1-2.5_idle-0.02_lh-0.1,900602,0.00,,
,,,ga750c-2__bf-0_a1-2.5_l-0.01-0.08,900602,1258.89,,ga750c-2__bf-0_a1-2.5_idle-0.02_lh-0.5,900602,0.00,,
,,,ga750c-2__bf-1_a1-2.5_l-0.01-0.05,900536,1963.55,,ga750c-2__bf-0_a1-2.5_idle-0.02_lh-1,900602,0.00,,
,,,ga750c-2__bf-1_a1-2.5_l-0.04-0.08,900602,1185.45,,ga750c-2__bf-1_a1-2.5_idle-0.02_lh-10,900602,0.00,,
,,,ga750c-2__bf-1_a1-2.5_l-0.01-0.08,900602,1259.79,,,,,,
,,,,,,,,,,,
,,,ga750c-3__bf-0_a1-2.5_l-0.01-0.05,900019,1482.23,,ga750c-3__bf-0_a1-2.5_idle-0.02_lh-0.05,900366,0.00,,
,,,ga750c-3__bf-0_a1-2.5_l-0.04-0.08,900366,892.40,,ga750c-3__bf-0_a1-2.5_idle-0.02_lh-0.1,900366,0.00,,
,,,ga750c-3__bf-0_a1-2.5_l-0.01-0.08,900366,923.11,,ga750c-3__bf-0_a1-2.5_idle-0.02_lh-0.5,900366,0.00,,
,,,ga750c-3__bf-1_a1-2.5_l-0.01-0.05,900366,958.36,,ga750c-3__bf-0_a1-2.5_idle-0.02_lh-1,900366,0.00,,
,,,ga750c-3__bf-1_a1-2.5_l-0.04-0.08,900366,888.28,,ga750c-3__bf-1_a1-2.5_idle-0.02_lh-10,900366,0.00,,
,,,ga750c-3__bf-1_a1-2.5_l-0.01-0.08,900366,928.24,,,,,,
,,,,,,,,,,,
,,,ga750c-4__bf-0_a1-2.5_l-0.01-0.05,900584,1163.41,,ga750c-4__bf-0_a1-2.5_idle-0.02_lh-0.05,900584,0.00,,
,,,ga750c-4__bf-0_a1-2.5_l-0.04-0.08,900584,1113.79,,ga750c-4__bf-0_a1-2.5_idle-0.02_lh-0.1,900584,0.00,,
,,,ga750c-4__bf-0_a1-2.5_l-0.01-0.08,900584,1123.03,,ga750c-4__bf-0_a1-2.5_idle-0.02_lh-0.5,900584,0.00,,
,,,ga750c-4__bf-1_a1-2.5_l-0.01-0.05,900584,1148.41,,ga750c-4__bf-0_a1-2.5_idle-0.02_lh-1,900584,0.00,,
,,,ga750c-4__bf-1_a1-2.5_l-0.04-0.08,900584,1104.84,,ga750c-4__bf-1_a1-2.5_idle-0.02_lh-10,900584,0.00,,
,,,ga750c-4__bf-1_a1-2.5_l-0.01-0.08,900584,1102.96,,,,,,
,,,,,,,,,,,
,,,ga750c-5__bf-0_a1-2.5_l-0.01-0.05,900634,1213.08,,ga750c-5__bf-0_a1-2.5_idle-0.02_lh-0.05,901076,0.00,,
,,,ga750c-5__bf-0_a1-2.5_l-0.04-0.08,900634,1134.18,,ga750c-5__bf-0_a1-2.5_idle-0.02_lh-0.1,901076,0.00,,
,,,ga750c-5__bf-0_a1-2.5_l-0.01-0.08,900634,1168.09,,ga750c-5__bf-0_a1-2.5_idle-0.02_lh-0.5,901076,0.00,,
,,,ga750c-5__bf-1_a1-2.5_l-0.01-0.05,899779,1673.10,,ga750c-5__bf-0_a1-2.5_idle-0.02_lh-1,901076,0.00,,
,,,ga750c-5__bf-1_a1-2.5_l-0.04-0.08,900634,1131.53,,ga750c-5__bf-1_a1-2.5_idle-0.02_lh-10,901076,0.00,,
,,,ga750c-5__bf-1_a1-2.5_l-0.01-0.08,900634,1180.92,,,,,,
,,,,,,,,,,,
,,,gs250a-1__bf-0_a1-2.5_l-0.01-0.05,257964,10.79,,gs250a-1__bf-0_a1-2.5_idle-0.02_lh-0.05,258138,0.01,,
,,,gs250a-1__bf-0_a1-2.5_l-0.04-0.08,257989,24.22,,gs250a-1__bf-0_a1-2.5_idle-0.02_lh-0.1,258138,0.01,,
,,,gs250a-1__bf-0_a1-2.5_l-0.01-0.08,257964,19.22,,gs250a-1__bf-0_a1-2.5_idle-0.02_lh-0.5,258110,0.18,,
,,,gs250a-1__bf-1_a1-2.5_l-0.01-0.05,257964,10.52,,gs250a-1__bf-0_a1-2.5_idle-0.02_lh-1,258112,0.26,,
,,,gs250a-1__bf-1_a1-2.5_l-0.04-0.08,257977,10.02,,gs250a-1__bf-1_a1-2.5_idle-0.02_lh-10,258110,0.24,,
,,,gs250a-1__bf-1_a1-2.5_l-0.01-0.08,257964,10.37,,,,,,
,,,,,,,,,,,
,,,gs250a-2__bf-0_a1-2.5_l-0.01-0.05,257573,23.12,,gs250a-2__bf-0_a1-2.5_idle-0.02_lh-0.05,257625,0.02,,
,,,gs250a-2__bf-0_a1-2.5_l-0.04-0.08,257573,12.59,,gs250a-2__bf-0_a1-2.5_idle-0.02_lh-0.1,257625,0.03,,
,,,gs250a-2__bf-0_a1-2.5_l-0.01-0.08,257573,22.27,,gs250a-2__bf-0_a1-2.5_idle-0.02_lh-0.5,257625,0.16,,
,,,gs250a-2__bf-1_a1-2.5_l-0.01-0.05,257573,12.07,,gs250a-2__bf-0_a1-2.5_idle-0.02_lh-1,257625,0.12,,
,,,gs250a-2__bf-1_a1-2.5_l-0.04-0.08,257592,15.22,,gs250a-2__bf-1_a1-2.5_idle-0.02_lh-10,257616,0.18,,
,,,gs250a-2__bf-1_a1-2.5_l-0.01-0.08,257577,14.33,,,,,,
,,,,,,,,,,,
,,,gs250a-3__bf-0_a1-2.5_l-0.01-0.05,257630,13.53,,gs250a-3__bf-0_a1-2.5_idle-0.02_lh-0.05,257810,0.04,,
,,,gs250a-3__bf-0_a1-2.5_l-0.04-0.08,257639,12.21,,gs250a-3__bf-0_a1-2.5_idle-0.02_lh-0.1,257810,0.04,,
,,,gs250a-3__bf-0_a1-2.5_l-0.01-0.08,257626,12.08,,gs250a-3__bf-0_a1-2.5_idle-0.02_lh-0.5,257711,0.31,,
,,,gs250a-3__bf-1_a1-2.5_l-0.01-0.05,257626,14.82,,gs250a-3__bf-0_a1-2.5_idle-0.02_lh-1,257829,0.31,,
,,,gs250a-3__bf-1_a1-2.5_l-0.04-0.08,257630,12.62,,gs250a-3__bf-1_a1-2.5_idle-0.02_lh-10,257742,0.23,,
,,,gs250a-3__bf-1_a1-2.5_l-0.01-0.08,257626,12.93,,,,,,
,,,,,,,,,,,
,,,gs250a-4__bf-0_a1-2.5_l-0.01-0.05,257977,13.76,,gs250a-4__bf-0_a1-2.5_idle-0.02_lh-0.05,258099,0.00,,
,,,gs250a-4__bf-0_a1-2.5_l-0.04-0.08,257985,16.54,,gs250a-4__bf-0_a1-2.5_idle-0.02_lh-0.1,258099,0.00,,
,,,gs250a-4__bf-0_a1-2.5_l-0.01-0.08,257977,15.18,,gs250a-4__bf-0_a1-2.5_idle-0.02_lh-0.5,258099,0.00,,
,,,gs250a-4__bf-1_a1-2.5_l-0.01-0.05,257999,14.65,,gs250a-4__bf-0_a1-2.5_idle-0.02_lh-1,258099,0.00,,
,,,gs250a-4__bf-1_a1-2.5_l-0.04-0.08,257993,25.12,,gs250a-4__bf-1_a1-2.5_idle-0.02_lh-10,258099,0.00,,
,,,gs250a-4__bf-1_a1-2.5_l-0.01-0.08,258010,12.64,,,,,,
,,,,,,,,,,,
,,,gs250a-5__bf-0_a1-2.5_l-0.01-0.05,257904,11.75,,gs250a-5__bf-0_a1-2.5_idle-0.02_lh-0.05,257930,0.16,,
,,,gs250a-5__bf-0_a1-2.5_l-0.04-0.08,257930,11.21,,gs250a-5__bf-0_a1-2.5_idle-0.02_lh-0.1,257930,0.16,,
,,,gs250a-5__bf-0_a1-2.5_l-0.01-0.08,257930,10.78,,gs250a-5__bf-0_a1-2.5_idle-0.02_lh-0.5,257987,0.59,,
,,,gs250a-5__bf-1_a1-2.5_l-0.01-0.05,257904,11.74,,gs250a-5__bf-0_a1-2.5_idle-0.02_lh-1,257955,0.91,,
,,,gs250a-5__bf-1_a1-2.5_l-0.04-0.08,257930,10.21,,gs250a-5__bf-1_a1-2.5_idle-0.02_lh-10,257930,0.29,,
,,,gs250a-5__bf-1_a1-2.5_l-0.01-0.08,257930,10.38,,,,,,
,,,,,,,,,,,
,,,gs250b-1__bf-0_a1-2.5_l-0.01-0.05,276850,11.41,,gs250b-1__bf-0_a1-2.5_idle-0.02_lh-0.05,276850,0.01,,
,,,gs250b-1__bf-0_a1-2.5_l-0.04-0.08,276761,16.67,,gs250b-1__bf-0_a1-2.5_idle-0.02_lh-0.1,276850,0.01,,
,,,gs250b-1__bf-0_a1-2.5_l-0.01-0.08,276761,13.35,,gs250b-1__bf-0_a1-2.5_idle-0.02_lh-0.5,276850,0.01,,
,,,gs250b-1__bf-1_a1-2.5_l-0.01-0.05,276761,13.73,,gs250b-1__bf-0_a1-2.5_idle-0.02_lh-1,276850,0.01,,
,,,gs250b-1__bf-1_a1-2.5_l-0.04-0.08,276850,11.10,,gs250b-1__bf-1_a1-2.5_idle-0.02_lh-10,276850,0.01,,
,,,gs250b-1__bf-1_a1-2.5_l-0.01-0.08,276850,10.91,,,,,,
,,,,,,,,,,,
,,,gs250b-2__bf-0_a1-2.5_l-0.01-0.05,275675,15.83,,gs250b-2__bf-0_a1-2.5_idle-0.02_lh-0.05,275928,0.06,,
,,,gs250b-2__bf-0_a1-2.5_l-0.04-0.08,275675,23.07,,gs250b-2__bf-0_a1-2.5_idle-0.02_lh-0.1,275928,0.06,,
,,,gs250b-2__bf-0_a1-2.5_l-0.01-0.08,275675,15.56,,gs250b-2__bf-0_a1-2.5_idle-0.02_lh-0.5,275928,0.06,,
,,,gs250b-2__bf-1_a1-2.5_l-0.01-0.05,275675,11.45,,gs250b-2__bf-0_a1-2.5_idle-0.02_lh-1,275928,0.12,,
,,,gs250b-2__bf-1_a1-2.5_l-0.04-0.08,275675,18.05,,gs250b-2__bf-1_a1-2.5_idle-0.02_lh-10,275928,0.12,,
,,,gs250b-2__bf-1_a1-2.5_l-0.01-0.08,275675,13.95,,,,,,
,,,,,,,,,,,
,,,gs250b-3__bf-0_a1-2.5_l-0.01-0.05,275710,19.35,,gs250b-3__bf-0_a1-2.5_idle-0.02_lh-0.05,276327,0.00,,
,,,gs250b-3__bf-0_a1-2.5_l-0.04-0.08,275889,12.54,,gs250b-3__bf-0_a1-2.5_idle-0.02_lh-0.1,276327,0.00,,
,,,gs250b-3__bf-0_a1-2.5_l-0.01-0.08,275710,23.66,,gs250b-3__bf-0_a1-2.5_idle-0.02_lh-0.5,276327,0.00,,
,,,gs250b-3__bf-1_a1-2.5_l-0.01-0.05,275710,14.89,,gs250b-3__bf-0_a1-2.5_idle-0.02_lh-1,276327,0.00,,
,,,gs250b-3__bf-1_a1-2.5_l-0.04-0.08,275710,17.19,,gs250b-3__bf-1_a1-2.5_idle-0.02_lh-10,276327,0.00,,
,,,gs250b-3__bf-1_a1-2.5_l-0.01-0.08,275710,12.93,,,,,,
,,,,,,,,,,,
,,,gs250b-4__bf-0_a1-2.5_l-0.01-0.05,276114,14.77,,gs250b-4__bf-0_a1-2.5_idle-0.02_lh-0.05,276730,0.01,,
,,,gs250b-4__bf-0_a1-2.5_l-0.04-0.08,276114,15.63,,gs250b-4__bf-0_a1-2.5_idle-0.02_lh-0.1,276730,0.01,,
,,,gs250b-4__bf-0_a1-2.5_l-0.01-0.08,276114,12.69,,gs250b-4__bf-0_a1-2.5_idle-0.02_lh-0.5,276730,0.06,,
,,,gs250b-4__bf-1_a1-2.5_l-0.01-0.05,276114,12.27,,gs250b-4__bf-0_a1-2.5_idle-0.02_lh-1,276730,0.09,,
,,,gs250b-4__bf-1_a1-2.5_l-0.04-0.08,276114,12.88,,gs250b-4__bf-1_a1-2.5_idle-0.02_lh-10,276660,0.10,,
,,,gs250b-4__bf-1_a1-2.5_l-0.01-0.08,276114,12.01,,,,,,
,,,,,,,,,,,
,,,gs250b-5__bf-0_a1-2.5_l-0.01-0.05,275916,15.67,,gs250b-5__bf-0_a1-2.5_idle-0.02_lh-0.05,276370,0.04,,
,,,gs250b-5__bf-0_a1-2.5_l-0.04-0.08,275916,20.94,,gs250b-5__bf-0_a1-2.5_idle-0.02_lh-0.1,276370,0.05,,
,,,gs250b-5__bf-0_a1-2.5_l-0.01-0.08,275916,11.89,,gs250b-5__bf-0_a1-2.5_idle-0.02_lh-0.5,276370,0.07,,
,,,gs250b-5__bf-1_a1-2.5_l-0.01-0.05,275916,12.05,,gs250b-5__bf-0_a1-2.5_idle-0.02_lh-1,276370,0.07,,
,,,gs250b-5__bf-1_a1-2.5_l-0.04-0.08,275916,12.10,,gs250b-5__bf-1_a1-2.5_idle-0.02_lh-10,276370,0.05,,
,,,gs250b-5__bf-1_a1-2.5_l-0.01-0.08,275916,11.22,,,,,,
,,,,,,,,,,,
,,,gs250c-1__bf-0_a1-2.5_l-0.01-0.05,332935,16.54,,gs250c-1__bf-0_a1-2.5_idle-0.02_lh-0.05,332935,0.00,,
,,,gs250c-1__bf-0_a1-2.5_l-0.04-0.08,332935,13.50,,gs250c-1__bf-0_a1-2.5_idle-0.02_lh-0.1,332935,0.00,,
,,,gs250c-1__bf-0_a1-2.5_l-0.01-0.08,332935,14.44,,gs250c-1__bf-0_a1-2.5_idle-0.02_lh-0.5,332935,0.00,,
,,,gs250c-1__bf-1_a1-2.5_l-0.01-0.05,332935,13.82,,gs250c-1__bf-0_a1-2.5_idle-0.02_lh-1,332935,0.00,,
,,,gs250c-1__bf-1_a1-2.5_l-0.04-0.08,332935,13.37,,gs250c-1__bf-1_a1-2.5_idle-0.02_lh-10,332935,0.00,,
,,,gs250c-1__bf-1_a1-2.5_l-0.01-0.08,332935,13.83,,,,,,
,,,,,,,,,,,
,,,gs250c-2__bf-0_a1-2.5_l-0.01-0.05,334630,24.15,,gs250c-2__bf-0_a1-2.5_idle-0.02_lh-0.05,334790,0.00,,
,,,gs250c-2__bf-0_a1-2.5_l-0.04-0.08,334790,15.10,,gs250c-2__bf-0_a1-2.5_idle-0.02_lh-0.1,334790,0.00,,
,,,gs250c-2__bf-0_a1-2.5_l-0.01-0.08,334758,27.36,,gs250c-2__bf-0_a1-2.5_idle-0.02_lh-0.5,334790,0.00,,
,,,gs250c-2__bf-1_a1-2.5_l-0.01-0.05,334630,21.66,,gs250c-2__bf-0_a1-2.5_idle-0.02_lh-1,334790,0.00,,
,,,gs250c-2__bf-1_a1-2.5_l-0.04-0.08,334758,26.72,,gs250c-2__bf-1_a1-2.5_idle-0.02_lh-10,334790,0.00,,
,,,gs250c-2__bf-1_a1-2.5_l-0.01-0.08,334630,20.47,,,,,,
,,,,,,,,,,,
,,,gs250c-3__bf-0_a1-2.5_l-0.01-0.05,333000,26.09,,gs250c-3__bf-0_a1-2.5_idle-0.02_lh-0.05,333128,0.00,,
,,,gs250c-3__bf-0_a1-2.5_l-0.04-0.08,333000,19.80,,gs250c-3__bf-0_a1-2.5_idle-0.02_lh-0.1,333128,0.00,,
,,,gs250c-3__bf-0_a1-2.5_l-0.01-0.08,333000,20.64,,gs250c-3__bf-0_a1-2.5_idle-0.02_lh-0.5,333128,0.00,,
,,,gs250c-3__bf-1_a1-2.5_l-0.01-0.05,333000,17.05,,gs250c-3__bf-0_a1-2.5_idle-0.02_lh-1,333128,0.00,,
,,,gs250c-3__bf-1_a1-2.5_l-0.04-0.08,333128,14.10,,gs250c-3__bf-1_a1-2.5_idle-0.02_lh-10,333128,0.00,,
,,,gs250c-3__bf-1_a1-2.5_l-0.01-0.08,333000,14.97,,,,,,
,,,,,,,,,,,
,,,gs250c-4__bf-0_a1-2.5_l-0.01-0.05,333158,17.97,,gs250c-4__bf-0_a1-2.5_idle-0.02_lh-0.05,333158,0.00,,
,,,gs250c-4__bf-0_a1-2.5_l-0.04-0.08,333158,13.99,,gs250c-4__bf-0_a1-2.5_idle-0.02_lh-0.1,333158,0.00,,
,,,gs250c-4__bf-0_a1-2.5_l-0.01-0.08,333158,15.69,,gs250c-4__bf-0_a1-2.5_idle-0.02_lh-0.5,333158,0.00,,
,,,gs250c-4__bf-1_a1-2.5_l-0.01-0.05,333158,15.51,,gs250c-4__bf-0_a1-2.5_idle-0.02_lh-1,333158,0.00,,
,,,gs250c-4__bf-1_a1-2.5_l-0.04-0.08,333158,13.71,,gs250c-4__bf-1_a1-2.5_idle-0.02_lh-10,333158,0.00,,
,,,gs250c-4__bf-1_a1-2.5_l-0.01-0.08,333158,14.53,,,,,,
,,,,,,,,,,,
,,,gs250c-5__bf-0_a1-2.5_l-0.01-0.05,334901,31.44,,gs250c-5__bf-0_a1-2.5_idle-0.02_lh-0.05,335226,0.00,,
,,,gs250c-5__bf-0_a1-2.5_l-0.04-0.08,334797,11.62,,gs250c-5__bf-0_a1-2.5_idle-0.02_lh-0.1,335226,0.00,,
,,,gs250c-5__bf-0_a1-2.5_l-0.01-0.08,334635,13.52,,gs250c-5__bf-0_a1-2.5_idle-0.02_lh-0.5,335226,0.00,,
,,,gs250c-5__bf-1_a1-2.5_l-0.01-0.05,334635,13.15,,gs250c-5__bf-0_a1-2.5_idle-0.02_lh-1,335226,0.00,,
