time spent so far, current solution cost, current qty moves
-2.80435e+09,511627,0
8e-06,511595,1
0.012043,511571,2
0.081675,511557,3
0.101985,511529,4
0.267874,511505,5
0.65345,511498,6
1.17447,511480,8
1.20804,511461,9
1.59664,511449,10
1.64389,511447,11
1.78689,511402,14
1.84209,511400,15
1.91421,511388,16
3.05366,511387,30
3.40799,511377,31
3.46355,511373,32
4.55177,511372,51
4.59335,511370,52
4.80445,511369,53
4.87405,511364,54
5.02638,511331,60
5.35153,511315,61
6.25877,511312,75
6.75027,511294,80
6.81856,511289,81
6.85067,511283,82
7.76476,511282,93
7.82013,511277,94
11.3823,511277,678
