time spent so far, current solution cost, current qty moves
-2.94741e+09,763970,0
7e-06,763947,1
0.093792,763934,2
0.247368,763919,3
1.23793,763909,4
1.43056,763905,5
1.49352,763903,6
1.66492,763902,7
1.7851,763898,8
2.25306,763897,9
4.03699,763891,13
4.10602,763884,14
5.5448,763878,17
6.54162,763877,18
6.95488,763874,21
8.2246,763850,24
8.45256,763846,27
10.3884,763825,35
10.4253,763810,36
10.5875,763797,37
12.3086,763794,43
12.4651,763792,45
13.2984,763778,48
13.343,763763,49
48.6922,763760,263
87.9617,763753,525
88.0276,763748,526
88.1475,763747,527
94.5988,763747,1389
