time spent so far, current solution cost, current qty moves
-2.89384e+09,763970,0
8e-06,763947,1
0.093339,763934,2
0.250791,763919,3
1.24178,763909,4
1.43583,763905,5
1.49772,763903,6
1.668,763902,7
1.78619,763898,8
2.2531,763897,9
4.03776,763891,13
4.10633,763884,14
5.55307,763878,17
6.55497,763877,18
6.96717,763874,21
8.23718,763850,24
8.46634,763846,27
10.4172,763825,35
10.4558,763810,36
10.6148,763797,37
12.3343,763794,43
12.493,763792,45
13.3265,763778,48
13.3717,763763,49
16.6555,763755,62
16.7084,763752,63
16.9879,763751,64
23.6617,763751,845
