time spent so far, current solution cost, current qty moves
-3.11999e+09,763898,0
8e-06,763865,1
0.180208,763832,2
0.229719,763817,3
0.392988,763805,4
0.519473,763804,5
2.11375,763788,6
2.22385,763772,7
3.04475,763737,8
3.12227,763735,9
3.21469,763723,10
3.84981,763709,11
3.8827,763705,12
4.91106,763701,13
13.8846,763687,56
13.9881,763680,57
14.5829,763676,58
14.7125,763673,59
16.0546,763671,65
18.1659,763637,74
19.3332,763632,75
20.4712,763631,81
20.6096,763628,82
21.9833,763620,83
22.0894,763613,84
22.2226,763610,85
57.9133,763608,338
57.9708,763607,339
59.7031,763598,348
59.8884,763595,349
93.0581,763595,1317
