time spent so far, current solution cost, current qty moves
-2.98691e+09,763898,0
8e-06,763865,1
0.180063,763832,2
0.228585,763817,3
0.39029,763805,4
0.51687,763804,5
2.10965,763788,6
2.21988,763772,7
3.03733,763737,8
3.11512,763735,9
3.20802,763723,10
3.84397,763709,11
3.87701,763705,12
4.89486,763701,13
13.8939,763687,56
13.9981,763680,57
14.598,763676,58
14.7285,763673,59
16.0727,763671,65
18.2005,763637,74
19.3668,763632,75
20.4988,763631,81
20.6372,763628,82
22.0117,763620,83
22.1177,763613,84
22.2499,763610,85
28.409,763610,861
