time spent so far, current solution cost, current qty moves
-3.14053e+09,763970,0
7e-06,763947,1
0.092854,763934,2
0.249748,763919,3
1.24683,763909,4
1.44254,763905,5
1.50311,763903,6
1.67406,763902,7
1.79237,763898,8
2.25032,763897,9
4.03399,763891,13
4.10253,763884,14
5.54524,763878,17
6.53859,763877,18
6.94677,763874,21
8.20707,763850,24
8.43375,763846,27
10.3718,763825,35
10.4086,763810,36
10.5676,763797,37
12.3127,763794,43
12.4768,763792,45
13.3224,763778,48
13.3665,763763,49
18.9081,763763,840
