time spent so far, current solution cost, current qty moves
-3.01803e+09,511627,0
7e-06,511595,1
0.010301,511571,2
0.072063,511557,3
0.089516,511529,4
0.238852,511505,5
0.575223,511498,6
1.02779,511480,8
1.0572,511461,9
1.41139,511449,10
1.45318,511447,11
1.58084,511402,14
1.62972,511400,15
1.69406,511388,16
2.55158,511387,29
2.86563,511383,30
2.90197,511381,31
3.13305,511375,38
3.18083,511373,39
4.01355,511370,52
4.06281,511369,53
4.12394,511364,54
4.45687,511335,62
4.74488,511319,63
4.80641,511315,64
5.34033,511314,73
5.40119,511305,74
5.42634,511304,75
5.44094,511303,76
5.46133,511291,77
5.48866,511288,78
6.36235,511288,607
