time spent so far, current solution cost, current qty moves
-2.94683e+09,511627,0
7e-06,511595,1
0.010189,511571,2
0.071116,511557,3
0.088329,511529,4
0.236584,511505,5
0.566442,511498,6
1.01812,511480,8
1.04749,511461,9
1.38268,511449,10
1.42383,511447,11
1.55127,511402,14
1.59955,511400,15
1.6627,511388,16
2.66465,511387,30
2.99387,511377,31
3.04247,511373,32
3.99642,511372,51
4.02975,511370,52
4.21358,511369,53
4.27519,511364,54
4.41064,511331,60
4.69239,511315,61
5.48466,511312,75
5.91265,511294,80
5.97263,511289,81
6.00061,511283,82
6.79305,511282,93
6.84083,511277,94
25.9252,511274,566
26.4337,511267,575
26.4892,511262,576
27.4707,511262,1092
