time spent so far, current solution cost, current qty moves
-3.09021e+09,511271,0
7e-06,511224,1
0.034739,511203,2
0.047356,511202,3
0.123082,511194,6
0.437607,511185,7
0.687552,511176,8
0.734397,511172,9
0.771012,511134,10
1.28359,511112,12
1.40864,511084,13
1.92782,511071,19
1.95479,511069,20
2.29303,511051,21
2.31086,511030,22
2.5305,511025,23
2.57408,511000,24
3.55299,510990,41
3.83313,510989,42
3.84138,510985,43
4.64009,510968,48
5.30608,510967,56
5.3475,510954,57
5.59638,510936,58
5.61935,510931,59
6.51779,510931,592
