time spent so far, current solution cost, current qty moves
-3.15189e+09,511627,0
7e-06,511595,1
0.01048,511571,2
0.072668,511557,3
0.090283,511529,4
0.239173,511505,5
0.576097,511498,6
1.02962,511480,8
1.0654,511461,9
1.40855,511449,10
1.45017,511447,11
1.57885,511402,14
1.62835,511400,15
1.69254,511388,16
2.70868,511387,30
3.02928,511377,31
3.07955,511373,32
4.04078,511372,51
4.07461,511370,52
4.25957,511369,53
4.32164,511364,54
4.45796,511331,60
4.74657,511315,61
5.5499,511312,75
5.98549,511294,80
6.04584,511289,81
6.0738,511283,82
6.88343,511282,93
6.93229,511277,94
8.26352,511277,630
