time spent so far, current solution cost, current qty moves
-2.97156e+09,511627,0
8e-06,511595,1
0.011703,511571,2
0.082837,511557,3
0.102219,511529,4
0.270655,511505,5
0.664311,511498,6
1.1932,511480,8
1.22695,511461,9
1.62447,511449,10
1.67234,511447,11
1.81441,511402,14
1.87127,511400,15
1.94394,511388,16
2.92748,511387,29
3.29069,511383,30
3.33018,511381,31
3.59247,511375,38
3.6481,511373,39
4.60513,511370,52
4.66229,511369,53
4.73302,511364,54
5.11022,511335,62
5.43782,511319,63
5.50853,511315,64
6.11747,511314,73
6.1864,511305,74
6.21513,511304,75
6.23158,511303,76
6.25413,511291,77
6.28568,511288,78
9.38232,511288,659
