time spent so far, current solution cost, current qty moves
0,515969,0
24.0256,512003,101
24.0859,511987,102
24.1801,511877,109
24.2452,511863,111
53.3471,511862,112
53.4075,511861,113
65.2794,511853,114
65.357,511831,117
65.4416,511829,118
65.5077,511823,119
65.5709,511811,120
79.8756,511806,121
79.9373,511793,122
79.9974,511773,123
80.0646,511744,125
133.779,511741,126
133.843,511719,127
136.316,511703,128
136.38,511692,130
223.79,511689,131
223.848,511688,132
229.775,511683,133
236.838,511682,134
250.203,511667,135
301.008,511664,136
301.069,511650,137
398.919,511650,137
