time spent so far, current solution cost, current qty moves
1e-06,769601,0
24.3092,764482,134
24.4545,764474,135
24.6009,764461,136
24.7423,764459,137
51.5427,764450,138
123.884,764440,139
124.05,764430,142
124.232,764375,146
124.389,764363,148
124.54,764360,149
180.578,764351,150
180.776,764295,155
180.922,764289,156
244.733,764274,157
344.121,764272,158
371.455,764271,159
371.606,764262,160
371.74,764261,161
494.959,764253,162
601.681,764250,163
632.735,764247,164
865.016,764243,165
1299.64,764243,165
