file_name,best_sol,min_cost,avg_cost,max_cost,sd_cost,avg_time,sd_time
cap71.txt,1,932615.75,932615.75,932615.75,0.0,0.011514999999999997,0.00701616744067269
cap72.txt,1,977799.4,977799.4000000001,977799.4,1.2271252383820944e-10,0.010400000000000001,0.0009672756702317196
cap73.txt,1,1010641.45,1010641.45,1010641.45,0.0,0.010695,0.0012656421295137105
cap74.txt,1,1034976.975,1034976.9749999999,1034976.975,1.2271252383820944e-10,0.008612999999999999,0.0010611005816813241
cap101.txt,1,796648.4375,796648.4375,796648.4375,0.0,0.02354,0.0013325497697605473
cap102.txt,1,854704.2,854704.2,854704.2,0.0,0.023766000000000002,0.0013182496812903933
cap103.txt,1,893782.1125,893782.1125,893782.1125,0.0,0.040433,0.01773437969970569
cap104.txt,1,928941.75,928941.75,928941.75,0.0,0.017227,0.00264191449941557
cap131.txt,1,793439.5625,793439.5625,793439.5625,0.0,0.123668,0.019157381983048838
cap132.txt,1,851495.325,851495.325,851495.325,0.0,0.116116,0.034760505430413084
cap133.txt,1,893076.7125,893076.7125000001,893076.7125,1.2271252383820944e-10,0.076597,0.007166908600567534
cap134.txt,1,928941.75,928941.75,928941.75,0.0,0.05349299999999999,0.009546997259173517
capa.txt,1,17156454.4783,17156454.4783,17156454.4783,0.0,3.347003,0.19580732905645346
capb.txt,1,12979071.58143,12979071.581430001,12979071.58143,1.963400381411351e-09,4.437005999999999,0.3409460345437546
capc.txt,9,11518643.09718,11530640.570311999,11535726.88531,5948.33051861753,7.711335000000001,0.8661243931990629
B1.1,3,23468.0,23667.3,24009.0,233.39049299879852,0.141488,0.025655355429660732
B1.2,1,22119.0,22119.0,22119.0,0.0,0.12256699999999998,0.014783261593211876
B1.3,1,23549.0,23549.0,23549.0,0.0,0.15556799999999998,0.028920966174117428
B1.4,2,20899.0,20969.8,21201.0,84.30342025485483,0.164603,0.028875075391916968
B1.5,1,23976.0,24000.6,24017.0,21.172308959267212,0.145901,0.023907819478618753
B1.6,5,21528.0,21564.6,21601.0,28.640297950033037,0.131677,0.015693040955928345
B1.7,4,22133.0,22311.4,22337.0,63.31964764413791,0.14865499999999998,0.006431331726616022
B1.8,2,20348.0,20496.4,20584.0,107.73547852649718,0.21657500000000002,0.058779372279359664
B1.9,1,25132.0,25148.8,25172.0,20.026648912553163,0.10355599999999998,0.029615360203786145
B1.10,1,21864.0,21864.0,21864.0,0.0,0.166127,0.030242739826646364
C1.1,1,16781.0,16948.4,17146.0,170.9309152195055,0.189481,0.06052522898208095
C1.2,1,15842.0,16028.0,17133.0,395.3575034769867,0.135677,0.01727945347000947
C1.3,1,17668.0,17898.4,18307.0,247.28579956533426,0.24844599999999994,0.0920282266119115
C1.4,1,16799.0,17073.3,17369.0,250.9781088284616,0.202725,0.06258803670741629
C1.5,5,17491.0,17646.1,17815.0,136.3406273517423,0.21922000000000003,0.10145197703566178
C1.6,3,17911.0,18113.0,18484.0,179.05740854696728,0.24057699999999999,0.07264587363826432
C1.7,8,17406.0,17627.4,17867.0,167.64592317010144,0.20725300000000005,0.04550460197728479
C1.8,3,17677.0,17814.3,18080.0,153.488363655939,0.22421000000000002,0.06861467465329685
C1.9,4,17565.0,17651.9,17960.0,148.48078813248685,0.22952500000000003,0.03671324019418002
C1.10,6,17994.0,18438.9,19081.0,387.6253775661925,0.16765999999999998,0.04561936625795866
D1.1,1,14205.0,14400.9,14947.0,267.0049729041681,0.062888,0.01643284637547616
D1.2,1,14359.0,14401.6,14430.0,29.458822485330643,0.092492,0.022593232418383853
D1.3,1,14252.0,14488.9,14730.0,208.79200176251965,0.08859299999999999,0.026761613491466964
D1.4,1,13209.0,13367.3,13429.0,71.65046328453772,0.08814300000000001,0.028423269047267122
D1.5,5,12166.0,12338.4,12693.0,184.1655052753727,0.067842,0.03595632035308026
D1.6,2,13893.0,14095.2,14306.0,146.67409072119347,0.067952,0.01948360895157203
