file_name,best_sol,min_cost,avg_cost,max_cost,sd_cost,avg_time,sd_time
ga250a-1,9,258053.0,258136.4,258273.0,67.49024620886587,17.876652999999997,7.20184347464831
ga250a-2,1,257560.0,257690.6,257800.0,77.63189493443473,13.117351,4.918278837824039
ga250a-3,9,258040.0,258147.8,258349.0,83.94945569276261,16.072737999999998,7.359011886611168
ga250a-4,4,258076.0,258210.2,258341.0,96.57789026940324,14.866360999999998,7.7760213758200285
ga250a-5,9,258234.0,258375.0,258502.0,79.98194240646517,18.540729000000002,7.100267319793044
ga250b-1,2,276381.0,276790.6,277289.0,312.5974336995676,4.817276999999999,1.2017049410090466
ga250b-2,4,275150.0,275544.5,276487.0,410.679450558597,6.1803550000000005,2.3617781347735534
ga250b-3,6,276111.0,276298.5,276550.0,144.52239349741694,4.7829180000000004,1.3384334080707938
ga250b-4,3,276417.0,276726.1,277358.0,339.5341416313437,5.859501,1.5269600483709818
ga250b-5,1,276484.0,277307.5,278024.0,492.1671464045523,4.316089,0.9431474700343642
ga250c-1,1,334658.0,335417.2,337068.0,684.522672297192,2.225886,0.5670262675514542
ga250c-2,1,330980.0,331456.3,331794.0,264.2175240214017,2.673906,0.4116080362891107
ga250c-3,6,334291.0,335401.6,337664.0,942.7299837292873,2.5913470000000003,0.7703415744121419
ga250c-4,6,332541.0,333164.4,335110.0,1027.3035037849763,3.174181,0.7076071175675258
ga250c-5,9,333538.0,334382.0,335177.0,645.1861057951505,1.8308389999999999,0.5313177696058065
ga500a-1,9,511531.0,511706.1,511876.0,94.68127821509617,252.12041600000003,80.11738433513987
ga500a-2,7,511462.0,511622.6,511940.0,164.93513876672856,240.33048099999996,117.43839165206802
ga500a-3,7,510936.0,511070.7,511221.0,85.93673383496852,211.18389900000003,57.79173833045486
ga500a-4,2,511170.0,511254.0,511373.0,74.39683386333647,216.79955800000002,118.49983481190445
ga500a-5,1,511447.0,511517.0,511610.0,44.98641770332216,229.82643799999997,106.90660826298695
ga500b-1,1,538060.0,538606.3,539814.0,537.3769730004358,63.968628999999986,29.474363771145804
ga500b-2,5,538157.0,538635.3,539207.0,323.9568043908186,61.995416999999996,15.821249307973297
ga500b-3,9,538347.0,538761.2,539370.0,291.88993359369783,77.371114,19.271085412177143
ga500b-4,1,538323.0,538638.5,539198.0,253.97823616295244,81.73015899999999,36.15515766940818
ga500b-5,4,537695.0,537973.7,538450.0,229.92754897527564,59.448855,20.14207631364434
ga500c-1,7,621723.0,622980.4,624096.0,827.94621403406,31.201735999999993,12.9150376586023
ga500c-2,8,622096.0,623068.5,624241.0,567.5501446274741,35.741941,13.457755649423412
ga500c-3,2,621680.0,622551.9,623749.0,594.4247359142003,28.430146,8.31941687518115
ga500c-4,5,622042.0,623862.4,627409.0,1983.05472552939,23.079303999999997,9.042194299978297
ga500c-5,6,622043.0,622870.6,623371.0,441.82203556535194,27.055078999999996,8.606791410914278
