Input file name,Solution cost,Time spent
E7.3,38669.00000,0.07420
E7.4,40317.00000,0.10745
E7.5,41083.00000,0.09380
E7.6,39703.00000,0.18231
E7.7,38845.00000,0.14500
E7.8,38636.00000,0.13951
E7.9,39890.00000,0.14239
E7.10,40870.00000,0.12241
E8.1,42558.00000,0.10848
E8.2,43396.00000,0.12319
E8.3,41928.00000,0.12707
E8.4,41863.00000,0.10129
E8.5,42547.00000,0.10516
E8.6,42057.00000,0.11936
E8.7,43086.00000,0.10182
E8.8,42568.00000,0.15811
E8.9,44605.00000,0.14852
E8.10,42107.00000,0.10961
E9.1,45446.00000,0.14366
E9.2,46376.00000,0.14601
E9.3,44892.00000,0.14988
E9.4,44477.00000,0.18048
E9.5,45360.00000,0.13297
E9.6,42443.00000,0.18365
E9.7,45153.00000,0.16367
E9.8,45684.00000,0.12708
E9.9,45661.00000,0.12133
E9.10,44162.00000,0.15950
E10.1,47462.00000,0.09780
E10.2,48817.00000,0.11508
E10.3,45658.00000,0.17297
E10.4,45852.00000,0.11050
E10.5,47652.00000,0.11797
E10.6,46474.00000,0.13568
E10.7,46884.00000,0.12549
E10.8,46678.00000,0.12738
E10.9,47515.00000,0.13889
E10.10,48146.00000,0.20248
ga250a-1,258119.00000,4.63519
ga250a-2,257641.00000,4.38035
ga250a-3,258230.00000,4.06231
ga250a-4,258199.00000,3.79452
ga250a-5,258409.00000,4.12117
ga250b-1,277307.00000,3.29890
ga250b-2,275418.00000,3.61573
ga250b-3,276414.00000,2.93902
ga250b-4,277694.00000,3.27439
ga250b-5,277533.00000,3.33671
ga250c-1,335223.00000,3.04182
ga250c-2,331344.00000,3.96519
ga250c-3,333662.00000,3.37668
ga250c-4,332541.00000,3.42103
ga250c-5,335511.00000,3.14884
ga500a-1,511655.00000,30.73823
ga500a-2,511619.00000,27.47830
ga500a-3,511271.00000,29.84324
ga500a-4,511197.00000,27.11779
ga500a-5,511526.00000,30.68511
ga500b-1,538323.00000,22.59089
ga500b-2,539186.00000,24.00699
ga500b-3,539156.00000,26.79165
ga500b-4,538568.00000,25.64588
ga500b-5,538123.00000,24.72561
ga500c-1,622936.00000,25.07762
ga500c-2,622940.00000,24.96466
ga500c-3,622593.00000,25.57018
ga500c-4,622117.00000,26.58631
ga500c-5,622365.00000,26.64198
ga750a-1,763898.00000,107.08696
ga750a-2,764045.00000,116.72345
ga750a-3,763970.00000,110.12321
ga750a-4,764147.00000,106.80171
ga750a-5,764218.00000,106.69948
ga750b-1,797200.00000,96.01315
ga750b-2,796848.00000,101.30489
ga750b-3,797355.00000,86.80573
ga750b-4,797900.00000,91.30259
ga750b-5,796555.00000,82.50257
ga750c-1,904268.00000,91.77297
ga750c-2,900602.00000,88.56597
ga750c-3,900366.00000,84.43620
ga750c-4,900584.00000,89.56146
ga750c-5,901076.00000,81.73628
gs250a-1,258143.00000,3.84887
gs250a-2,257725.00000,3.72857
gs250a-3,257850.00000,3.47140
gs250a-4,258099.00000,3.64165
gs250a-5,258096.00000,3.62136
gs250b-1,276861.00000,3.19183
gs250b-2,276184.00000,3.10404
gs250b-3,276327.00000,3.12987
gs250b-4,276829.00000,2.67755
gs250b-5,276425.00000,2.93770
gs250c-1,332935.00000,3.33066
gs250c-2,334790.00000,3.35521
gs250c-3,333128.00000,2.87175
gs250c-4,333158.00000,2.70938
gs250c-5,335226.00000,3.24162
gs500a-1,511485.00000,27.20969
gs500a-2,511627.00000,30.49070
gs500a-3,511331.00000,31.09921
gs500a-4,511570.00000,28.88725
gs500a-5,511522.00000,27.73830
gs500b-1,538684.00000,25.77035
gs500b-2,538441.00000,24.34953
gs500b-3,538857.00000,25.18224
gs500b-4,538942.00000,24.67980
gs500b-5,538842.00000,25.31658
gs500c-1,620639.00000,22.95298
gs500c-2,620434.00000,27.07271
gs500c-3,621204.00000,26.32616
gs500c-4,621182.00000,25.30811
gs500c-5,626125.00000,27.29006
gs750a-1,764031.00000,105.14956
gs750a-2,763928.00000,119.43832
gs750a-3,764017.00000,105.34258
gs750a-4,764168.00000,98.66294
gs750a-5,764007.00000,99.94621
gs750b-1,798180.00000,89.47108
gs750b-2,796884.00000,95.47340
gs750b-3,797916.00000,97.75178
gs750b-4,797690.00000,92.27811
gs750b-5,797054.00000,90.06050
gs750c-1,901642.00000,82.75965
gs750c-2,898991.00000,90.17670
gs750c-3,902386.00000,86.74665
gs750c-4,902624.00000,85.07216
gs750c-5,900991.00000,88.78229
