Input file name,Solution cost,Time spent
ga250a-4,258199,3.62922
ga250a-5,258409,3.83585
ga250b-1,277307,3.08586
ga250b-2,275418,3.36616
ga250b-3,276414,2.77454
ga250b-4,277694,3.00381
ga250b-5,277533,3.18588
ga250c-1,335223,2.81271
ga250c-2,331344,3.70533
ga250c-3,333662,3.30553
ga250c-4,332541,3.20689
ga250c-5,335511,2.94324
ga500a-1,511655,29.2095
ga500a-2,511619,26.7271
ga500a-3,511271,28.71
ga500a-4,511197,25.9821
ga500a-5,511526,30.4183
ga500b-1,538323,22.7284
ga500b-2,539186,25.3133
ga500b-3,539156,25.9863
ga500b-4,538568,27.6436
ga500b-5,538123,24.7989
ga500c-1,622936,25.5668
ga500c-2,622940,25.2892
ga500c-3,622593,25.192
ga500c-4,622117,27.5867
ga500c-5,622365,28.0993
ga750a-1,763898,109.099
ga750a-2,764045,109.677
ga750a-3,763970,102.286
ga750a-4,764147,99.9915
ga750a-5,764218,100.559
ga750b-1,797200,90.8101
ga750b-2,796848,91.5647
ga750b-3,797355,82.281
ga750b-4,797900,90.5794
ga750b-5,796555,81.9021
ga750c-1,904268,84.6623
ga750c-2,900602,88.5413
ga750c-3,900366,84.1176
ga750c-4,900584,93.042
ga750c-5,901076,83.0734
gs250a-1,258143,5.34557
gs250a-2,257725,4.47092
gs250a-3,257850,5.10389
gs250a-4,258099,4.79511
gs250a-5,258096,4.14421
gs250b-1,276861,3.57989
gs250b-2,276184,3.38322
gs250b-3,276327,3.40232
gs250b-4,276829,2.90756
gs250b-5,276425,3.49466
gs250c-1,332935,3.90601
gs250c-2,334790,3.64442
gs250c-3,333128,3.20527
gs250c-4,333158,2.8398
gs250c-5,335226,3.38659
gs500a-1,511485,28.5639
gs500a-2,511627,32.1414
gs500a-3,511331,29.8774
gs500a-4,511570,27.8244
gs500a-5,511522,27.5418
gs500b-1,538684,25.8675
gs500b-2,538441,25.4151
gs500b-3,538857,26.0192
gs500b-4,538942,24.1562
gs500b-5,538842,23.2117
gs500c-1,620639,23.0059
gs500c-2,620434,27.6563
gs500c-3,621204,27.3097
gs500c-4,621182,24.8362
gs500c-5,626125,27.9623
gs750a-1,764031,102.299
gs750a-2,763928,104.894
gs750a-3,764017,101.394
gs750a-4,764168,95.6512
gs750a-5,764007,98.7943
gs750b-1,798180,87.1791
gs750b-2,796884,98.4596
gs750b-3,797916,89.8106
gs750b-4,797690,84.9134
gs750b-5,797054,83.278
gs750c-1,901642,77.1021
gs750c-2,898991,87.1506
gs750c-3,902386,85.314
gs750c-4,902624,88.0499
gs750c-5,900991,100.705
