time spent so far, current solution cost, current qty moves
-1.40735e+14,258230,0
1.8e-05,258200,1
0.090727,258194,2
0.301935,258172,3
0.374243,258148,4
0.733997,258141,5
1.95252,258136,11
5.00648,258135,40
10.9987,258123,81
12.1856,258121,88
12.2331,258116,89
12.3011,258115,90
12.4626,258109,93
13.0623,258108,98
21.4156,258098,162
21.4326,258083,163
90.2467,258052,732
90.2968,258041,733
90.3553,258032,734
90.6661,258019,737
92.3096,258016,753
92.4974,258012,754
94.3688,258006,769
104.155,257988,842
184.532,257988,1468
